test,mode,train,loss
neg,fit,neg,1.0021351101317055
neg,fit,pos,1.0570438946211884
neg,opt,neg,1.2922856704191006
neg,opt,pos,1.2335230053379687
pos,fit,neg,1.1350791464615664
pos,fit,pos,0.9080371664569326
pos,opt,neg,2.017946854848271
pos,opt,pos,0.910205837238589
