test,mode,train,loss
neg,fit,neg,1.0004798141922786
neg,fit,pos,1.1178751247209981
neg,opt,neg,1.1909800445082472
neg,opt,pos,1.1807976371624767
pos,fit,neg,1.1812094473856134
pos,fit,pos,0.8993368470438903
pos,opt,neg,1.7592087648950447
pos,opt,pos,0.9348627154354725
