test,mode,train,loss
neg,fit,neg,0.7058008329618201
neg,fit,pos,0.8396490222693677
neg,opt,neg,0.7467929442064294
neg,opt,pos,0.9657759501300232
pos,fit,neg,0.7200273919593343
pos,fit,pos,0.5963668386203451
pos,opt,neg,0.747918315521205
pos,opt,pos,0.6348289518250045
