data_type,fit_deep_neg,fit_deep_pos,fit_mh_neg,fit_mh_pos,minimum,opt_deep_neg,opt_deep_pos,opt_mh_neg,opt_mh_pos,random,treatment
train,0.6341070776467376,0.8150179677006743,0.6758495355559906,0.7511360125372452,0.6009499283665529,0.7441774587872386,0.8172614125969244,0.704189574003946,0.7899113493370732,1.0986122886681098,Competing
test,0.6393235063894346,0.7948638747359054,0.6359808764534199,0.7247521307820434,0.5445658654332013,0.6673669614500329,0.7830839189863162,0.665615265104267,0.7443214988213718,1.0986122886681093,Competing
train,0.7755587349113623,0.5127425468968073,0.6425493396524841,0.5462840470891207,0.4593129635401991,0.7052828224928531,0.5989361708017792,0.6491250239825591,0.572215273543962,1.0986122886681098,Common
test,0.7071562063416663,0.5148966866788531,0.5881670769938928,0.48302992032984726,0.400396008507064,0.6339712392220129,0.5689839928057274,0.5735774761540642,0.4938340559370334,1.0986122886681093,Common
