α,λ,level,m_λ,loss
0.1,0.1,0.2,0.7,0.632775892582221
0.1,0.1,0.2,0.8,0.6306873100523257
0.1,0.1,0.2,0.9,0.6301996592371194
0.1,0.1,0.2,1.0,0.6338559261418703
0.1,0.1,0.2,1.1,0.6387145681845657
0.1,0.1,0.2,1.2,0.6512373231649342
0.1,0.1,0.2,1.3,0.6607255746320414
0.1,0.1,0.2,1.4,0.6662768612065401
0.1,0.1,0.2,1.5,0.6697541325636939
0.1,0.1,0.2,1.6,0.673388184406683
0.1,0.1,0.2,1.7,0.6777627611271964
0.1,0.1,0.2,1.8,0.6826926602816348
0.1,0.1,0.2,1.9,0.6883141094895389
0.1,0.1,0.2,2.0,0.6946823640745263
0.1,0.1,0.2,2.1,0.7019029470729976
0.1,0.1,0.2,2.2,0.7098198465215761
0.1,0.1,0.2,2.3,0.7182436032357965
0.1,0.1,0.2,2.4,0.7277538247950789
0.1,0.1,0.2,2.5,0.7379351047622316
0.1,0.1,0.2,2.6,0.748703526599387
0.1,0.1,0.2,2.7,0.7608835238445801
0.1,0.1,0.2,2.8,0.7723540835985597
0.1,0.1,0.2,2.9,0.7863869814275166
0.1,0.1,0.2,3.0,0.7977620322158419
0.1,0.1,0.2,3.1,0.808812539660396
0.1,0.1,0.2,3.2,0.8211893964198277
0.1,0.1,0.2,3.3,0.8338035798177007
0.1,0.1,0.2,3.4,0.8463222473715858
0.1,0.1,0.2,3.5,0.8588865382012895
0.1,0.1,0.2,3.6,0.8716697161609728
0.1,0.1,0.2,3.7,0.884820815115636
0.1,0.1,0.2,3.8,NaN
0.1,0.1,0.2,3.9,NaN
0.1,0.1,0.2,4.0,0.9170467221158374
