test,mode,train,loss
neg,fit,neg,0.7346615150509545
neg,fit,pos,0.7421991742447548
neg,opt,neg,0.7791144046869769
neg,opt,pos,0.7953415583327612
pos,fit,neg,0.6994107721566166
pos,fit,pos,0.686366254457997
pos,opt,neg,0.726708170125842
pos,opt,pos,0.7375163230614549
