data_type,fit_deep_neg,fit_deep_pos,minimum,opt_deep_neg,opt_deep_pos,random,treatment
train,0.7131962195115162,0.7797195357650103,0.6442067266074243,0.7639888048733267,0.950797113288772,1.0986122886681091,Competing
test,0.7131170916824452,0.7786015605768226,0.6442067266074243,0.7601011483799271,0.96194773568188,1.0986122886681091,Competing
train,0.7137476015154368,0.6429718219605204,0.5508820902535042,0.8384266198084119,0.7120964210640487,1.0986122886681091,Common
test,0.7130616630414686,0.6375774577279512,0.5508820902535042,0.8449072556227015,0.7016009630737425,1.0986122886681091,Common
