test,mode,train,loss
neg,fit,neg,1.0305104895257269
neg,fit,pos,1.1010998821073257
neg,opt,neg,1.1565583812576368
neg,opt,pos,1.1825237317403352
pos,fit,neg,1.2768818533116997
pos,fit,pos,0.9124118723828385
pos,opt,neg,1.571537463231677
pos,opt,pos,0.9870641674557851
