loss,mode,test,train
0.7594374171051284,fit,neg,neg
0.8965639673574313,fit,neg,pos
0.7521671203123818,opt,neg,neg
0.8488688098702621,opt,neg,pos
0.8351569698727467,fit,pos,neg
0.6665307799109291,fit,pos,pos
0.8628505631202324,opt,pos,neg
0.6646018124219057,opt,pos,pos
