test,mode,train,loss
neg,fit,neg,1.0987268919331306
neg,fit,pos,1.113319194456635
neg,opt,neg,1.0577071232734436
neg,opt,pos,1.0901254182346187
pos,fit,neg,1.6020935100011076
pos,fit,pos,1.6662946887159378
pos,opt,neg,1.4879377924441948
pos,opt,pos,1.5908860478159004
