test,mode,train,loss
neg,fit,neg,0.7157982832219971
neg,fit,pos,0.7784078645256072
neg,opt,neg,0.7191855941842827
neg,opt,pos,0.8051382162360285
pos,fit,neg,0.6737350558054427
pos,fit,pos,0.5923225627488236
pos,opt,neg,0.7568462116899544
pos,opt,pos,0.6168276749893586
