col_game,col_play,round,row_game,row_play,treatment,type
"[[[8,8],[2,6],[0,5]],[[6,2],[6,6],[2,5]],[[5,0],[5,2],[5,5]]]","[0.698921568627451,0.1505637254901961,0.1505147058823529]",31,"[[[8,8],[2,6],[0,5]],[[6,2],[6,6],[2,5]],[[5,0],[5,2],[5,5]]]","[0.5882738095238096,0.20309523809523808,0.20863095238095236]",positive,comparison
"[[[8,8],[2,9],[1,0]],[[9,2],[3,3],[1,1]],[[0,1],[1,1],[1,1]]]","[0.56375,0.4362500000000001,0.0]",38,"[[[8,8],[2,9],[1,0]],[[9,2],[3,3],[1,1]],[[0,1],[1,1],[1,1]]]","[0.5095833333333333,0.48375,0.006666666666666666]",positive,comparison
"[[[4,4],[4,6],[5,0]],[[6,4],[3,3],[5,1]],[[0,5],[1,5],[9,9]]]","[0.12806372549019607,0.2569607843137255,0.6149754901960784]",42,"[[[4,4],[4,6],[5,0]],[[6,4],[3,3],[5,1]],[[0,5],[1,5],[9,9]]]","[0.13220238095238096,0.22851190476190478,0.6392857142857143]",positive,comparison
"[[[4,4],[9,1],[1,3]],[[1,9],[8,8],[1,8]],[[3,1],[8,1],[3,3]]]","[0.21708333333333335,0.5995833333333334,0.18333333333333332]",49,"[[[4,4],[9,1],[1,3]],[[1,9],[8,8],[1,8]],[[3,1],[8,1],[3,3]]]","[0.305,0.5554166666666667,0.13958333333333334]",positive,comparison
