data_type,fit_deep_cv_neg,fit_deep_cv_neg_mean,fit_deep_cv_neg_std,fit_deep_cv_pos,fit_deep_cv_pos_mean,fit_deep_cv_pos_std,fit_mh_cv_neg,fit_mh_cv_neg_mean,fit_mh_cv_neg_std,fit_mh_cv_pos,fit_mh_cv_pos_mean,fit_mh_cv_pos_std,minimum,opt_deep_cv_neg,opt_deep_cv_neg_mean,opt_deep_cv_neg_std,opt_deep_cv_pos,opt_deep_cv_pos_mean,opt_deep_cv_pos_std,opt_mh_cv_neg,opt_mh_cv_neg_mean,opt_mh_cv_neg_std,opt_mh_cv_pos,opt_mh_cv_pos_mean,opt_mh_cv_pos_std,random,treatment
train,"Any[0.579286, 0.655897]",0.6175915507122174,0.05417257512962772,"Any[0.77775, 0.943925]",0.8608373420792133,0.11750361663742666,"Any[0.617131, 0.696646]",0.6568883140068753,0.05622596225853267,"Any[0.686767, 0.77567]",0.7312184938728075,0.06286423527312501,0.6128603634534854,"Any[0.673319, 0.734128]",0.7037239039540742,0.042998499769852955,"Any[0.745487, 0.92212]",0.8338032899900925,0.12489838421677463,"Any[0.656859, 0.733289]",0.6950741262986608,0.05404381477968754,"Any[0.747651, 0.804062]",0.7758566562616098,0.03988866075942901,1.0986122886681096,Competing
test,"Any[0.719897, 0.641634]",0.6807652666666675,0.05534048151904278,"Any[0.851202, 0.832218]",0.8417099718687617,0.013423314459078845,"Any[0.743092, 0.641115]",0.6921038746952077,0.07210867637937438,"Any[0.788186, 0.6861]",0.7371433419262561,0.07218582158954169,0.6128603634534854,"Any[0.721509, 0.651046]",0.6862776073400976,0.04982456644924691,"Any[0.858299, 0.844935]",0.8516168200533185,0.009449389393247219,"Any[0.724056, 0.663916]",0.693986033851229,0.04252498008270069,"Any[0.810417, 0.731093]",0.7707552456677851,0.05609031563732072,1.0986122886681096,Competing
train,"Any[0.75627, 0.741094]",0.7486817656374802,0.010730766771264555,"Any[0.522037, 0.460823]",0.49143019361194434,0.04328517546947032,"Any[0.673067, 0.607977]",0.6405218614284584,0.046025910407073524,"Any[0.52565, 0.501597]",0.513623553192522,0.01700864459064485,0.44777917927110555,"Any[0.786761, 0.67608]",0.7314208752541933,0.07826343291639183,"Any[0.584442, 0.541605]",0.5630235208949135,0.03028996417142812,"Any[0.667695, 0.597437]",0.6325659363568228,0.04968020299781986,"Any[0.562893, 0.536364]",0.5496284352223595,0.018759210487288448,1.0986122886681096,Common
test,"Any[0.695651, 0.851183]",0.7734171203118961,0.10997768468411269,"Any[0.523567, 0.604517]",0.564042034475321,0.057239897285504285,"Any[0.603712, 0.623138]",0.6134247770923478,0.01373600740853033,"Any[0.524441, 0.565488]",0.5449647189636438,0.02902485784469037,0.44777917927110555,"Any[0.721916, 0.712352]",0.7171338635192889,0.0067629977464147666,"Any[0.565454, 0.601443]",0.5834486673983426,0.02544803058548119,"Any[0.607856, 0.652494]",0.6301747737815184,0.03156411062212936,"Any[0.534528, 0.571794]",0.5531609758202166,0.026351438214590787,1.0986122886681096,Common
