round,play
31,"[0.0890205, 0.223878, 0.687101]"
34,"[0.314842, 0.677383, 0.00777553]"
38,"[0.227138, 0.701406, 0.0714563]"
41,"[0.618837, 0.291463, 0.0897002]"
44,"[0.67185, 0.165108, 0.163042]"
50,"[0.385819, 0.546935, 0.0672456]"
