data_type,fit_deep_neg,fit_deep_pos,fit_mh_neg,fit_mh_pos,minimum,opt_deep_neg,opt_deep_pos,opt_mh_neg,opt_mh_pos,random,treatment
train,0.7237882856298664,0.7858423408609858,0.7147948884826646,0.7583586277724306,0.6442067266074243,0.8085251125930224,0.8067874890566303,0.7744808970468567,0.7925507467683962,1.0986122886681091,Competing
test,0.7232918204324956,0.7875266157595698,0.7147900426044177,0.766655269027827,0.6442067266074243,0.7902318692118552,0.7922878041067417,0.7541448547336543,0.7988543469139818,1.0986122886681091,Competing
train,0.7089574000761135,0.64873234342899,0.6690694962028794,0.6234513303587055,0.5508820902535042,0.7959286900279455,0.7121921327460602,0.7242100226722227,0.6492470001195613,1.0986122886681091,Common
test,0.7165930270192129,0.6435482035447272,0.6690172399074681,0.5957641181651067,0.5508820902535042,0.8025254949130108,0.6940025040101192,0.7399634823496292,0.5981035448050526,1.0986122886681091,Common
