round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.15, 0.1, 0.75)","(0.6363636363636364, 0.18181818181818182, 0.18181818181818182)","[[[5.0, 4.0], [8.0, 7.0], [6.0, 5.0]], [[8.0, 4.0], [3.0, 0.0], [3.0, 6.0]], [[7.0, 5.0], [3.0, 2.0], [5.0, 7.0]]]","[[[4.0, 5.0], [4.0, 8.0], [5.0, 7.0]], [[7.0, 8.0], [0.0, 3.0], [2.0, 3.0]], [[5.0, 6.0], [6.0, 3.0], [7.0, 5.0]]]",positive,treatment
2,"(0.13333333333333333, 0.8666666666666667, 0.0)","(0.0, 0.75, 0.25)","[[[2.0, 8.0], [6.0, 4.0], [3.0, 3.0]], [[4.0, 4.0], [9.0, 8.0], [3.0, 1.0]], [[3.0, 2.0], [7.0, 9.0], [4.0, 4.0]]]","[[[8.0, 2.0], [4.0, 4.0], [2.0, 3.0]], [[4.0, 6.0], [8.0, 9.0], [9.0, 7.0]], [[3.0, 3.0], [1.0, 3.0], [4.0, 4.0]]]",positive,treatment
3,"(0.06666666666666667, 0.06666666666666667, 0.8666666666666667)","(1.0, 0.0, 0.0)","[[[7.0, 7.0], [7.0, 4.0], [7.0, 8.0]], [[2.0, 1.0], [4.0, 7.0], [3.0, 8.0]], [[1.0, 1.0], [5.0, 5.0], [4.0, 5.0]]]","[[[7.0, 7.0], [1.0, 2.0], [1.0, 1.0]], [[4.0, 7.0], [7.0, 4.0], [5.0, 5.0]], [[8.0, 7.0], [8.0, 3.0], [5.0, 4.0]]]",positive,treatment
4,"(0.0, 0.9333333333333333, 0.06666666666666667)","(0.3125, 0.0, 0.6875)","[[[6.0, 5.0], [4.0, 7.0], [7.0, 4.0]], [[3.0, 2.0], [4.0, 6.0], [1.0, 4.0]], [[7.0, 5.0], [6.0, 9.0], [3.0, 6.0]]]","[[[5.0, 6.0], [2.0, 3.0], [5.0, 7.0]], [[7.0, 4.0], [6.0, 4.0], [9.0, 6.0]], [[4.0, 7.0], [4.0, 1.0], [6.0, 3.0]]]",positive,treatment
5,"(0.0, 0.058823529411764705, 0.9411764705882353)","(0.0, 0.9285714285714286, 0.07142857142857142)","[[[0.0, 0.0], [5.0, 0.0], [6.0, 4.0]], [[5.0, 0.0], [4.0, 5.0], [9.0, 9.0]], [[3.0, 5.0], [0.0, 1.0], [0.0, 3.0]]]","[[[0.0, 0.0], [0.0, 5.0], [5.0, 3.0]], [[0.0, 5.0], [5.0, 4.0], [1.0, 0.0]], [[4.0, 6.0], [9.0, 9.0], [3.0, 0.0]]]",positive,treatment
6,"(0.5882352941176471, 0.058823529411764705, 0.35294117647058826)","(0.21428571428571427, 0.7857142857142857, 0.0)","[[[8.0, 8.0], [4.0, 7.0], [4.0, 7.0]], [[9.0, 7.0], [5.0, 5.0], [5.0, 7.0]], [[5.0, 4.0], [2.0, 5.0], [5.0, 6.0]]]","[[[8.0, 8.0], [7.0, 9.0], [4.0, 5.0]], [[7.0, 4.0], [5.0, 5.0], [5.0, 2.0]], [[7.0, 4.0], [7.0, 5.0], [6.0, 5.0]]]",positive,treatment
7,"(0.15789473684210525, 0.7368421052631579, 0.10526315789473684)","(0.08333333333333333, 0.16666666666666666, 0.75)","[[[7.0, 8.0], [5.0, 2.0], [2.0, 1.0]], [[4.0, 3.0], [6.0, 8.0], [4.0, 4.0]], [[5.0, 3.0], [9.0, 8.0], [1.0, 1.0]]]","[[[8.0, 7.0], [3.0, 4.0], [3.0, 5.0]], [[2.0, 5.0], [8.0, 6.0], [8.0, 9.0]], [[1.0, 2.0], [4.0, 4.0], [1.0, 1.0]]]",positive,treatment
8,"(0.2222222222222222, 0.05555555555555555, 0.7222222222222222)","(0.07692307692307693, 0.3076923076923077, 0.6153846153846154)","[[[7.0, 9.0], [0.0, 1.0], [4.0, 3.0]], [[2.0, 2.0], [1.0, 5.0], [8.0, 9.0]], [[4.0, 3.0], [7.0, 9.0], [4.0, 5.0]]]","[[[9.0, 7.0], [2.0, 2.0], [3.0, 4.0]], [[1.0, 0.0], [5.0, 1.0], [9.0, 7.0]], [[3.0, 4.0], [9.0, 8.0], [5.0, 4.0]]]",positive,treatment
9,"(0.1875, 0.0, 0.8125)","(0.4, 0.4666666666666667, 0.13333333333333333)","[[[8.0, 6.0], [0.0, 4.0], [8.0, 9.0]], [[9.0, 7.0], [7.0, 4.0], [4.0, 2.0]], [[5.0, 4.0], [1.0, 2.0], [8.0, 9.0]]]","[[[6.0, 8.0], [7.0, 9.0], [4.0, 5.0]], [[4.0, 0.0], [4.0, 7.0], [2.0, 1.0]], [[9.0, 8.0], [2.0, 4.0], [9.0, 8.0]]]",positive,treatment
10,"(0.25, 0.75, 0.0)","(0.0, 0.06666666666666667, 0.9333333333333333)","[[[2.0, 1.0], [6.0, 5.0], [0.0, 0.0]], [[6.0, 6.0], [3.0, 1.0], [3.0, 4.0]], [[4.0, 2.0], [8.0, 6.0], [6.0, 2.0]]]","[[[1.0, 2.0], [6.0, 6.0], [2.0, 4.0]], [[5.0, 6.0], [1.0, 3.0], [6.0, 8.0]], [[0.0, 0.0], [4.0, 3.0], [2.0, 6.0]]]",positive,treatment
