DATASET,GAME,PLAYER,ACTION,ORIGINAL_ACTION,COUNT
SW94,SW94-1,1,3,B,29
SW94,SW94-1,1,2,M,0
SW94,SW94-1,1,1,T,11
SW94,SW94-2,1,3,B,7
SW94,SW94-2,1,2,M,7
SW94,SW94-2,1,1,T,26
SW94,SW94-3,1,3,B,0
SW94,SW94-3,1,2,M,26
SW94,SW94-3,1,1,T,14
SW94,SW94-4,1,3,B,13
SW94,SW94-4,1,2,M,27
SW94,SW94-4,1,1,T,0
SW94,SW94-5,1,3,B,22
SW94,SW94-5,1,2,M,0
SW94,SW94-5,1,1,T,18
SW94,SW94-6,1,3,B,1
SW94,SW94-6,1,2,M,35
SW94,SW94-6,1,1,T,4
SW94,SW94-7,1,3,B,3
SW94,SW94-7,1,2,M,31
SW94,SW94-7,1,1,T,6
SW94,SW94-8,1,3,B,19
SW94,SW94-8,1,2,M,13
SW94,SW94-8,1,1,T,8
SW94,SW94-9,1,3,B,14
SW94,SW94-9,1,2,M,0
SW94,SW94-9,1,1,T,26
SW94,SW94-10,1,3,B,35
SW94,SW94-10,1,2,M,0
SW94,SW94-10,1,1,T,5
SW95,SW95-1,1,3,B,1
SW95,SW95-1,1,2,M,40
SW95,SW95-1,1,1,T,7
SW95,SW95-2,1,3,B,6
SW95,SW95-2,1,2,M,12
SW95,SW95-2,1,1,T,30
SW95,SW95-3,1,3,B,27
SW95,SW95-3,1,2,M,16
SW95,SW95-3,1,1,T,5
SW95,SW95-4,1,3,B,7
SW95,SW95-4,1,2,M,15
SW95,SW95-4,1,1,T,26
SW95,SW95-5,1,3,B,31
SW95,SW95-5,1,2,M,3
SW95,SW95-5,1,1,T,14
SW95,SW95-6,1,3,B,17
SW95,SW95-6,1,2,M,20
SW95,SW95-6,1,1,T,11
SW95,SW95-7,1,3,B,10
SW95,SW95-7,1,2,M,17
SW95,SW95-7,1,1,T,21
SW95,SW95-8,1,3,B,24
SW95,SW95-8,1,2,M,12
SW95,SW95-8,1,1,T,12
SW95,SW95-9,1,3,B,21
SW95,SW95-9,1,2,M,1
SW95,SW95-9,1,1,T,26
SW95,SW95-10,1,3,B,6
SW95,SW95-10,1,2,M,3
SW95,SW95-10,1,1,T,39
SW95,SW95-11,1,3,B,31
SW95,SW95-11,1,2,M,4
SW95,SW95-11,1,1,T,13
SW95,SW95-12,1,3,B,19
SW95,SW95-12,1,2,M,3
SW95,SW95-12,1,1,T,26
HSW01,HSW01-1,1,1,A,25
HSW01,HSW01-1,1,2,B,33
HSW01,HSW01-1,1,3,C,0
HSW01,HSW01-2,1,1,A,15
HSW01,HSW01-2,1,2,B,31
HSW01,HSW01-2,1,3,C,12
HSW01,HSW01-3,1,1,A,15
HSW01,HSW01-3,1,2,B,28
HSW01,HSW01-3,1,3,C,15
HSW01,HSW01-4,1,1,A,29
HSW01,HSW01-4,1,2,B,10
HSW01,HSW01-4,1,3,C,19
HSW01,HSW01-5,1,1,A,45
HSW01,HSW01-5,1,2,B,10
HSW01,HSW01-5,1,3,C,3
HSW01,HSW01-6,1,1,A,28
HSW01,HSW01-6,1,2,B,4
