DATASET,GAME,PLAYER,ACTION,ORIGINAL_ACTION,COUNT
HSW01,HSW01-6,1,3,C,25
HSW01,HSW01-7,1,1,A,31
HSW01,HSW01-7,1,2,B,8
HSW01,HSW01-7,1,3,C,19
HSW01,HSW01-8,1,1,A,27
HSW01,HSW01-8,1,2,B,9
HSW01,HSW01-8,1,3,C,22
HSW01,HSW01-9,1,1,A,3
HSW01,HSW01-9,1,2,B,14
HSW01,HSW01-9,1,3,C,41
HSW01,HSW01-10,1,1,A,32
HSW01,HSW01-10,1,2,B,12
HSW01,HSW01-10,1,3,C,14
HSW01,HSW01-11,1,1,A,15
HSW01,HSW01-11,1,2,B,35
HSW01,HSW01-11,1,3,C,8
HSW01,HSW01-12,1,1,A,35
HSW01,HSW01-12,1,2,B,3
HSW01,HSW01-12,1,3,C,20
HSW01,HSW01-13,1,1,A,13
HSW01,HSW01-13,1,2,B,10
HSW01,HSW01-13,1,3,C,35
HSW01,HSW01-14,1,1,A,33
HSW01,HSW01-14,1,2,B,2
HSW01,HSW01-14,1,3,C,23
HSW01,HSW01-15,1,1,A,17
HSW01,HSW01-15,1,2,B,2
HSW01,HSW01-15,1,3,C,39
HS07,HS07-1,1,1,A,116
HS07,HS07-1,1,2,B,7
HS07,HS07-1,1,3,C,24
HS07,HS07-2,1,1,A,1
HS07,HS07-2,1,2,B,10
HS07,HS07-2,1,3,C,136
HS07,HS07-3,1,1,A,65
HS07,HS07-3,1,2,B,76
HS07,HS07-3,1,3,C,6
HS07,HS07-4,1,1,A,21
HS07,HS07-4,1,2,B,118
HS07,HS07-4,1,3,C,8
HS07,HS07-5,1,1,A,134
HS07,HS07-5,1,2,B,4
HS07,HS07-5,1,3,C,9
HS07,HS07-6,1,1,A,32
HS07,HS07-6,1,2,B,5
HS07,HS07-6,1,3,C,110
HS07,HS07-7,1,1,A,124
HS07,HS07-7,1,2,B,5
HS07,HS07-7,1,3,C,18
HS07,HS07-8,1,1,A,4
HS07,HS07-8,1,2,B,139
HS07,HS07-8,1,3,C,4
HS07,HS07-9,1,1,A,120
HS07,HS07-9,1,2,B,19
HS07,HS07-9,1,3,C,8
HS07,HS07-10,1,1,A,3
HS07,HS07-10,1,2,B,7
HS07,HS07-10,1,3,C,137
HS07,HS07-11,1,1,A,98
HS07,HS07-11,1,2,B,46
HS07,HS07-11,1,3,C,3
HS07,HS07-12,1,1,A,96
HS07,HS07-12,1,2,B,13
HS07,HS07-12,1,3,C,38
HS07,HS07-13,1,1,A,102
HS07,HS07-13,1,2,B,15
HS07,HS07-13,1,3,C,30
HS07,HS07-14,1,1,A,4
HS07,HS07-14,1,2,B,128
HS07,HS07-14,1,3,C,15
HS07,HS07-15,1,1,A,43
HS07,HS07-15,1,2,B,77
HS07,HS07-15,1,3,C,27
HS07,HS07-16,1,1,A,110
HS07,HS07-16,1,2,B,22
HS07,HS07-16,1,3,C,15
HS07,HS07-17,1,1,A,4
HS07,HS07-17,1,2,B,10
HS07,HS07-17,1,3,C,133
HS07,HS07-18,1,1,A,72
HS07,HS07-18,1,2,B,28
HS07,HS07-18,1,3,C,47
HS07,HS07-19,1,1,A,29
HS07,HS07-19,1,2,B,97
HS07,HS07-19,1,3,C,21
HS07,HS07-20,1,1,A,2
HS07,HS07-20,1,2,B,11
HS07,HS07-20,1,3,C,134
SH08,SH08-1,1,1,A,26
SH08,SH08-1,1,2,B,49
SH08,SH08-1,1,3,C,0
SH08,SH08-2,1,1,A,1
SH08,SH08-2,1,2,B,36
SH08,SH08-2,1,3,C,38
SH08,SH08-3,1,1,A,64
SH08,SH08-3,1,2,B,8
SH08,SH08-3,1,3,C,3
SH08,SH08-4,1,1,A,62
SH08,SH08-4,1,2,B,12
SH08,SH08-4,1,3,C,1
SH08,SH08-5,1,1,A,53
SH08,SH08-5,1,2,B,4
SH08,SH08-5,1,3,C,18
SH08,SH08-6,1,1,A,1
SH08,SH08-6,1,2,B,41
SH08,SH08-6,1,3,C,33
SH08,SH08-7,1,1,A,36
SH08,SH08-7,1,2,B,1
SH08,SH08-7,1,3,C,38
SH08,SH08-8,1,1,A,0
SH08,SH08-8,1,2,B,42
SH08,SH08-8,1,3,C,33
SH08,SH08-9,1,1,A,44
SH08,SH08-9,1,2,B,27
SH08,SH08-9,1,3,C,4
SH08,SH08-10,1,1,A,12
SH08,SH08-10,1,2,B,63
SH08,SH08-10,1,3,C,22
SH08,SH08-11,1,1,A,17
SH08,SH08-11,1,2,B,52
SH08,SH08-11,1,3,C,6
SH08,SH08-12,1,1,A,54
SH08,SH08-12,1,2,B,0
SH08,SH08-12,1,3,C,21
SH08,SH08-13,1,1,A,39
SH08,SH08-13,1,2,B,14
SH08,SH08-13,1,3,C,22
SH08,SH08-14,1,1,A,1
SH08,SH08-14,1,2,B,43
SH08,SH08-14,1,3,C,31
SH08,SH08-15,1,1,A,30
SH08,SH08-15,1,2,B,44
SH08,SH08-15,1,3,C,1
SH08,SH08-16,1,1,A,36
SH08,SH08-16,1,2,B,11
SH08,SH08-16,1,3,C,0
SH08,SH08-17,1,1,A,0
SH08,SH08-17,1,2,B,29
SH08,SH08-17,1,3,C,18
SH08,SH08-18,1,1,A,13
SH08,SH08-18,1,2,B,0
SH08,SH08-18,1,3,C,34
RPC09,UNPROFITABLE,1,1,A,24
RPC09,UNPROFITABLE,1,2,B,18
RPC09,UNPROFITABLE,1,3,C,32
RPC09,SW1,1,1,A,8
RPC09,SW1,1,2,B,61
RPC09,SW1,1,3,C,5
RPC09,SW2,1,1,A,59
RPC09,SW2,1,2,B,11
RPC09,SW2,1,3,C,4
RPC09,SW3,1,1,A,11
RPC09,SW3,1,2,B,13
RPC09,SW3,1,3,C,50
RPC09,SW4,1,1,A,45
RPC09,SW4,1,2,B,26
RPC09,SW4,1,3,C,3
RPC09,SW5,1,1,A,24
RPC09,SW5,1,2,B,21
RPC09,SW5,1,3,C,29
RPC09,SW6,1,1,A,33
RPC09,SW6,1,2,B,19
RPC09,SW6,1,3,C,22
RPC09,SW7,1,1,A,44
RPC09,SW7,1,2,B,9
RPC09,SW7,1,3,C,21
RPC09,SW8,1,1,A,13
RPC09,SW8,1,2,B,15
RPC09,SW8,1,3,C,46
RPC09,SW9,1,1,A,48
RPC09,SW9,1,2,B,3
RPC09,SW9,1,3,C,23
RPC09,SW10,1,1,A,38
RPC09,SW10,1,2,B,14
RPC09,SW10,1,3,C,22
RPC09,SW11,1,1,A,37
RPC09,SW11,1,2,B,13
RPC09,SW11,1,3,C,24
RPC09,SW12,1,1,A,18
RPC09,SW12,1,2,B,13
RPC09,SW12,1,3,C,43
