DATASET,GAME,PLAYER,ACTION,ORIGINAL_ACTION,COUNT
CGCB98,CGCB7B,1,2,B,16
CGCB98,CGCB7B,1,1,T,20
CGCB98,CGCB7B,2,1,L,7
CGCB98,CGCB7B,2,2,M,2
CGCB98,CGCB7B,2,3,R,27
CGCB98,CGCB8A,1,3,B,24
CGCB98,CGCB8A,1,2,M,3
CGCB98,CGCB8A,1,1,T,9
CGCB98,CGCB8A,2,1,L,17
CGCB98,CGCB8A,2,2,R,19
CGCB98,CGCB8B,1,3,B,25
CGCB98,CGCB8B,1,2,M,3
CGCB98,CGCB8B,1,1,T,8
CGCB98,CGCB8B,2,1,L,17
CGCB98,CGCB8B,2,2,R,19
CGCB98,CGCB9A,1,2,B,3
CGCB98,CGCB9A,1,1,T,33
CGCB98,CGCB9A,2,1,L,23
CGCB98,CGCB9A,2,2,R,13
CGCB98,CGCB9B,1,2,B,6
CGCB98,CGCB9B,1,1,T,30
CGCB98,CGCB9B,2,1,L,31
CGCB98,CGCB9B,2,2,R,5
CVH03,CVH03-1,1,2,B,128
CVH03,CVH03-1,1,1,T,59
CVH03,CVH03-1,2,1,L,53
CVH03,CVH03-1,2,2,R,134
CVH03,CVH03-2,1,2,B,17
CVH03,CVH03-2,1,1,T,170
CVH03,CVH03-2,2,1,L,138
CVH03,CVH03-2,2,2,R,49
CVH03,CVH03-3,1,2,B,78
CVH03,CVH03-3,1,1,T,109
CVH03,CVH03-3,2,1,L,75
CVH03,CVH03-3,2,2,R,112
CVH03,CVH03-4,1,2,B,79
CVH03,CVH03-4,1,1,T,108
CVH03,CVH03-4,2,1,L,172
CVH03,CVH03-4,2,2,R,15
CVH03,CVH03-5,1,2,B,135
CVH03,CVH03-5,1,1,T,52
CVH03,CVH03-5,2,1,L,126
CVH03,CVH03-5,2,2,R,61
CVH03,CVH03-6,1,2,B,116
CVH03,CVH03-6,1,1,T,71
CVH03,CVH03-6,2,1,L,167
CVH03,CVH03-6,2,2,R,20
CVH03,CVH03-7,1,2,B,117
CVH03,CVH03-7,1,1,T,70
