data_type,fit_QCH_neg,fit_QCH_pos,fit_deep_neg,fit_deep_pos,fit_mh_neg,fit_mh_pos,minimum,opt_QCH_neg,opt_QCH_pos,opt_deep_neg,opt_deep_pos,opt_mh_neg,opt_mh_pos,random,treatment
all,0.6699713316678506,0.6786366621628089,0.6325221011690568,0.8087594398122313,0.6614907540344633,0.7296359642067788,0.573338484228671,0.9904650416596568,0.896613671129478,0.7241135338008422,0.7911559811401803,0.7183653940131883,1.0197984305469203,1.0986122886681096,Competing
train,0.6795750469226501,0.6910900891359391,0.6322895206334505,0.8317702185281883,0.6699405127135112,0.7160994989517054,0.5854726172591649,1.0061463773786667,0.9042373195012959,0.7407887503342115,0.8134778184871083,0.7536498444984493,1.0317834876793306,1.0986122886681096,Competing
test,0.647562662739985,0.6495786658921717,0.6330647890854725,0.7550676228083308,0.641774650450019,0.7612210498019513,0.5450255071575189,0.9538752583152986,0.8788251582619032,0.6852046952229807,0.7390716939973482,0.6360350095475794,0.991833297237964,1.0986122886681102,Competing
comparison,1.0021978872662036,0.9861849058992356,0.9062767336738009,1.4828217111208515,0.9218957542594277,0.9981271383519991,0.8606744015831241,1.2060389175064998,1.161558873914719,0.986626127694661,1.602101128203327,1.4348327207480924,2.387204418775867,1.0986122886681098,Competing
all,0.7341624267726626,0.7199237921924397,0.7896464555889086,0.5215586583481293,0.6794140371936198,0.5690645796847644,0.4554187870364986,0.9396400295936513,0.8533325794823295,0.7275810343515959,0.5921819270250858,0.8746310353478661,0.5735775992824237,1.09861228866811,Common
train,0.764132095826872,0.7452086583511024,0.7897086612642216,0.517701334199793,0.6813429273567752,0.5787889821414639,0.46252620167952807,0.9920042019651146,0.9098560326627047,0.7375007609770593,0.6058579436823256,0.8679728673968058,0.5990581508284061,1.0986122886681098,Common
test,0.6642331989795075,0.660925771155561,0.789501309013179,0.5305590813609141,0.674913293479592,0.5463743072857988,0.4388348195360966,0.8174569607269029,0.7214445220614549,0.7044350055588483,0.560271221491526,0.8901667605670072,0.5141229790084646,1.0986122886681102,Common
comparison,1.256957674360317,1.1961866787103275,0.9714387754801372,0.4438632025329151,0.8980456687884075,0.6070166850252328,0.36639974350181986,1.7167166542450805,1.643862628311163,0.9504581677658421,0.5791206410011663,2.386910340356812,0.5045519962203777,1.0986122886681102,Common
