round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.5454545454545454, 0.2727272727272727, 0.18181818181818182)","(0.2777777777777778, 0.3333333333333333, 0.3888888888888889)","[[[1.0, 8.0], [7.0, 2.0], [9.0, 1.0]], [[9.0, 1.0], [5.0, 3.0], [1.0, 6.0]], [[4.0, 7.0], [7.0, 3.0], [1.0, 6.0]]]","[[[8.0, 1.0], [1.0, 9.0], [7.0, 4.0]], [[2.0, 7.0], [3.0, 5.0], [3.0, 7.0]], [[1.0, 9.0], [6.0, 1.0], [6.0, 1.0]]]",negative,treatment
2,"(0.5333333333333333, 0.13333333333333333, 0.3333333333333333)","(0.07142857142857142, 0.42857142857142855, 0.5)","[[[0.0, 9.0], [4.0, 8.0], [4.0, 8.0]], [[2.0, 9.0], [2.0, 7.0], [4.0, 7.0]], [[1.0, 9.0], [7.0, 3.0], [3.0, 7.0]]]","[[[9.0, 0.0], [9.0, 2.0], [9.0, 1.0]], [[8.0, 4.0], [7.0, 2.0], [3.0, 7.0]], [[8.0, 4.0], [7.0, 4.0], [7.0, 3.0]]]",negative,treatment
3,"(0.25, 0.0, 0.75)","(0.3076923076923077, 0.0, 0.6923076923076923)","[[[5.0, 7.0], [9.0, 3.0], [2.0, 7.0]], [[3.0, 6.0], [5.0, 0.0], [3.0, 8.0]], [[5.0, 5.0], [5.0, 4.0], [5.0, 8.0]]]","[[[7.0, 5.0], [6.0, 3.0], [5.0, 5.0]], [[3.0, 9.0], [0.0, 5.0], [4.0, 5.0]], [[7.0, 2.0], [8.0, 3.0], [8.0, 5.0]]]",negative,treatment
4,"(0.0625, 0.0, 0.9375)","(0.0, 0.9230769230769231, 0.07692307692307693)","[[[1.0, 9.0], [2.0, 7.0], [3.0, 3.0]], [[6.0, 0.0], [8.0, 2.0], [7.0, 7.0]], [[3.0, 7.0], [7.0, 2.0], [4.0, 6.0]]]","[[[9.0, 1.0], [0.0, 6.0], [7.0, 3.0]], [[7.0, 2.0], [2.0, 8.0], [2.0, 7.0]], [[3.0, 3.0], [7.0, 7.0], [6.0, 4.0]]]",negative,treatment
5,"(0.125, 0.625, 0.25)","(0.23076923076923078, 0.5384615384615384, 0.23076923076923078)","[[[3.0, 6.0], [7.0, 4.0], [1.0, 9.0]], [[5.0, 2.0], [2.0, 6.0], [7.0, 0.0]], [[3.0, 3.0], [9.0, 4.0], [1.0, 9.0]]]","[[[6.0, 3.0], [2.0, 5.0], [3.0, 3.0]], [[4.0, 7.0], [6.0, 2.0], [4.0, 9.0]], [[9.0, 1.0], [0.0, 7.0], [9.0, 1.0]]]",negative,treatment
6,"(0.0, 0.21428571428571427, 0.7857142857142857)","(0.13333333333333333, 0.8, 0.06666666666666667)","[[[3.0, 6.0], [7.0, 2.0], [1.0, 9.0]], [[9.0, 1.0], [3.0, 7.0], [3.0, 5.0]], [[4.0, 5.0], [0.0, 8.0], [5.0, 4.0]]]","[[[6.0, 3.0], [1.0, 9.0], [5.0, 4.0]], [[2.0, 7.0], [7.0, 3.0], [8.0, 0.0]], [[9.0, 1.0], [5.0, 3.0], [4.0, 5.0]]]",negative,treatment
7,"(0.8571428571428571, 0.0, 0.14285714285714285)","(0.13333333333333333, 0.6666666666666666, 0.2)","[[[2.0, 9.0], [7.0, 2.0], [5.0, 8.0]], [[4.0, 8.0], [5.0, 2.0], [8.0, 3.0]], [[3.0, 3.0], [4.0, 5.0], [6.0, 2.0]]]","[[[9.0, 2.0], [8.0, 4.0], [3.0, 3.0]], [[2.0, 7.0], [2.0, 5.0], [5.0, 4.0]], [[8.0, 5.0], [3.0, 8.0], [2.0, 6.0]]]",negative,treatment
8,"(0.8571428571428571, 0.07142857142857142, 0.07142857142857142)","(0.13333333333333333, 0.5333333333333333, 0.3333333333333333)","[[[0.0, 8.0], [3.0, 6.0], [9.0, 0.0]], [[1.0, 8.0], [7.0, 2.0], [4.0, 5.0]], [[0.0, 9.0], [7.0, 1.0], [7.0, 8.0]]]","[[[8.0, 0.0], [8.0, 1.0], [9.0, 0.0]], [[6.0, 3.0], [2.0, 7.0], [1.0, 7.0]], [[0.0, 9.0], [5.0, 4.0], [8.0, 7.0]]]",negative,treatment
9,"(0.7142857142857143, 0.14285714285714285, 0.14285714285714285)","(0.8666666666666667, 0.06666666666666667, 0.06666666666666667)","[[[4.0, 7.0], [9.0, 1.0], [6.0, 2.0]], [[8.0, 4.0], [5.0, 7.0], [0.0, 8.0]], [[6.0, 6.0], [6.0, 1.0], [0.0, 9.0]]]","[[[7.0, 4.0], [4.0, 8.0], [6.0, 6.0]], [[1.0, 9.0], [7.0, 5.0], [1.0, 6.0]], [[2.0, 6.0], [8.0, 0.0], [9.0, 0.0]]]",negative,treatment
10,"(0.7142857142857143, 0.21428571428571427, 0.07142857142857142)","(0.0, 0.7333333333333333, 0.26666666666666666)","[[[1.0, 7.0], [5.0, 6.0], [7.0, 4.0]], [[5.0, 5.0], [7.0, 0.0], [5.0, 6.0]], [[8.0, 6.0], [2.0, 9.0], [9.0, 2.0]]]","[[[7.0, 1.0], [5.0, 5.0], [6.0, 8.0]], [[6.0, 5.0], [0.0, 7.0], [9.0, 2.0]], [[4.0, 7.0], [6.0, 5.0], [2.0, 9.0]]]",negative,treatment
11,"(0.07142857142857142, 0.07142857142857142, 0.8571428571428571)","(0.0, 0.6666666666666666, 0.3333333333333333)","[[[1.0, 7.0], [7.0, 2.0], [3.0, 5.0]], [[8.0, 1.0], [3.0, 6.0], [6.0, 6.0]], [[5.0, 7.0], [4.0, 5.0], [4.0, 7.0]]]","[[[7.0, 1.0], [1.0, 8.0], [7.0, 5.0]], [[2.0, 7.0], [6.0, 3.0], [5.0, 4.0]], [[5.0, 3.0], [6.0, 6.0], [7.0, 4.0]]]",negative,treatment
12,"(0.0, 0.8571428571428571, 0.14285714285714285)","(0.9333333333333333, 0.06666666666666667, 0.0)","[[[6.0, 1.0], [7.0, 3.0], [8.0, 1.0]], [[2.0, 8.0], [1.0, 6.0], [7.0, 5.0]], [[8.0, 0.0], [0.0, 8.0], [8.0, 2.0]]]","[[[1.0, 6.0], [8.0, 2.0], [0.0, 8.0]], [[3.0, 7.0], [6.0, 1.0], [8.0, 0.0]], [[1.0, 8.0], [5.0, 7.0], [2.0, 8.0]]]",negative,treatment
13,"(0.2, 0.6, 0.2)","(0.7857142857142857, 0.07142857142857142, 0.14285714285714285)","[[[6.0, 3.0], [4.0, 3.0], [4.0, 6.0]], [[1.0, 4.0], [4.0, 5.0], [7.0, 1.0]], [[5.0, 7.0], [5.0, 5.0], [2.0, 9.0]]]","[[[3.0, 6.0], [4.0, 1.0], [7.0, 5.0]], [[3.0, 4.0], [5.0, 4.0], [5.0, 5.0]], [[6.0, 4.0], [1.0, 7.0], [9.0, 2.0]]]",negative,treatment
14,"(0.0625, 0.9375, 0.0)","(0.9230769230769231, 0.07692307692307693, 0.0)","[[[4.0, 3.0], [7.0, 5.0], [9.0, 1.0]], [[1.0, 6.0], [3.0, 3.0], [1.0, 8.0]], [[6.0, 2.0], [0.0, 9.0], [6.0, 5.0]]]","[[[3.0, 4.0], [6.0, 1.0], [2.0, 6.0]], [[5.0, 7.0], [3.0, 3.0], [9.0, 0.0]], [[1.0, 9.0], [8.0, 1.0], [5.0, 6.0]]]",negative,treatment
15,"(0.06666666666666667, 0.6666666666666666, 0.26666666666666666)","(0.5714285714285714, 0.2857142857142857, 0.14285714285714285)","[[[6.0, 3.0], [4.0, 9.0], [7.0, 5.0]], [[2.0, 5.0], [5.0, 3.0], [7.0, 4.0]], [[8.0, 4.0], [2.0, 8.0], [6.0, 3.0]]]","[[[3.0, 6.0], [5.0, 2.0], [4.0, 8.0]], [[9.0, 4.0], [3.0, 5.0], [8.0, 2.0]], [[5.0, 7.0], [4.0, 7.0], [3.0, 6.0]]]",negative,treatment
16,"(1.0, 0.0, 0.0)","(0.0, 0.7142857142857143, 0.2857142857142857)","[[[3.0, 4.0], [3.0, 4.0], [1.0, 8.0]], [[3.0, 9.0], [8.0, 1.0], [8.0, 2.0]], [[4.0, 5.0], [1.0, 8.0], [6.0, 5.0]]]","[[[4.0, 3.0], [9.0, 3.0], [5.0, 4.0]], [[4.0, 3.0], [1.0, 8.0], [8.0, 1.0]], [[8.0, 1.0], [2.0, 8.0], [5.0, 6.0]]]",negative,treatment
17,"(0.875, 0.0, 0.125)","(1.0, 0.0, 0.0)","[[[5.0, 8.0], [8.0, 3.0], [5.0, 5.0]], [[5.0, 5.0], [7.0, 3.0], [0.0, 8.0]], [[2.0, 7.0], [3.0, 5.0], [5.0, 5.0]]]","[[[8.0, 5.0], [5.0, 5.0], [7.0, 2.0]], [[3.0, 8.0], [3.0, 7.0], [5.0, 3.0]], [[5.0, 5.0], [8.0, 0.0], [5.0, 5.0]]]",negative,treatment
18,"(0.0, 1.0, 0.0)","(0.7142857142857143, 0.07142857142857142, 0.21428571428571427)","[[[6.0, 4.0], [4.0, 5.0], [8.0, 1.0]], [[3.0, 4.0], [3.0, 7.0], [2.0, 6.0]], [[5.0, 1.0], [5.0, 3.0], [3.0, 5.0]]]","[[[4.0, 6.0], [4.0, 3.0], [1.0, 5.0]], [[5.0, 4.0], [7.0, 3.0], [3.0, 5.0]], [[1.0, 8.0], [6.0, 2.0], [5.0, 3.0]]]",negative,treatment
19,"(0.25, 0.0, 0.75)","(0.3076923076923077, 0.23076923076923078, 0.46153846153846156)","[[[5.0, 4.0], [7.0, 6.0], [5.0, 8.0]], [[5.0, 9.0], [6.0, 1.0], [4.0, 8.0]], [[8.0, 2.0], [3.0, 4.0], [7.0, 4.0]]]","[[[4.0, 5.0], [9.0, 5.0], [2.0, 8.0]], [[6.0, 7.0], [1.0, 6.0], [4.0, 3.0]], [[8.0, 5.0], [8.0, 4.0], [4.0, 7.0]]]",negative,treatment
20,"(0.35714285714285715, 0.14285714285714285, 0.5)","(0.0, 0.3333333333333333, 0.6666666666666666)","[[[1.0, 3.0], [5.0, 5.0], [1.0, 4.0]], [[9.0, 5.0], [1.0, 7.0], [8.0, 4.0]], [[4.0, 8.0], [6.0, 3.0], [8.0, 8.0]]]","[[[3.0, 1.0], [5.0, 9.0], [8.0, 4.0]], [[5.0, 5.0], [7.0, 1.0], [3.0, 6.0]], [[4.0, 1.0], [4.0, 8.0], [8.0, 8.0]]]",negative,treatment
21,"(0.07142857142857142, 0.42857142857142855, 0.5)","(0.0, 0.8, 0.2)","[[[3.0, 8.0], [5.0, 7.0], [0.0, 9.0]], [[7.0, 3.0], [7.0, 7.0], [9.0, 3.0]], [[8.0, 1.0], [9.0, 2.0], [5.0, 8.0]]]","[[[8.0, 3.0], [3.0, 7.0], [1.0, 8.0]], [[7.0, 5.0], [7.0, 7.0], [2.0, 9.0]], [[9.0, 0.0], [3.0, 9.0], [8.0, 5.0]]]",negative,treatment
22,"(0.8571428571428571, 0.14285714285714285, 0.0)","(0.06666666666666667, 0.06666666666666667, 0.8666666666666667)","[[[2.0, 9.0], [6.0, 4.0], [1.0, 7.0]], [[2.0, 6.0], [7.0, 2.0], [5.0, 3.0]], [[7.0, 4.0], [7.0, 1.0], [6.0, 1.0]]]","[[[9.0, 2.0], [6.0, 2.0], [4.0, 7.0]], [[4.0, 6.0], [2.0, 7.0], [1.0, 7.0]], [[7.0, 1.0], [3.0, 5.0], [1.0, 6.0]]]",negative,treatment
23,"(0.35714285714285715, 0.5714285714285714, 0.07142857142857142)","(0.13333333333333333, 0.8666666666666667, 0.0)","[[[3.0, 9.0], [7.0, 3.0], [8.0, 4.0]], [[8.0, 4.0], [5.0, 5.0], [7.0, 3.0]], [[3.0, 7.0], [4.0, 7.0], [6.0, 3.0]]]","[[[9.0, 3.0], [4.0, 8.0], [7.0, 3.0]], [[3.0, 7.0], [5.0, 5.0], [7.0, 4.0]], [[4.0, 8.0], [3.0, 7.0], [3.0, 6.0]]]",negative,treatment
