round,col_play,row_play,row_game,col_game,treatment,type
13,"(0.7777777777777778, 0.2222222222222222, 0.0)","(0.13333333333333333, 0.8, 0.06666666666666667)","[[[1.0, 7.0], [7.0, 3.0], [8.0, 0.0]], [[3.0, 5.0], [4.0, 8.0], [4.0, 6.0]], [[1.0, 9.0], [3.0, 4.0], [7.0, 4.0]]]","[[[7.0, 1.0], [5.0, 3.0], [9.0, 1.0]], [[3.0, 7.0], [8.0, 4.0], [4.0, 3.0]], [[0.0, 8.0], [6.0, 4.0], [4.0, 7.0]]]",negative,treatment
14,"(0.05555555555555555, 0.9444444444444444, 0.0)","(0.0, 1.0, 0.0)","[[[8.0, 2.0], [1.0, 8.0], [3.0, 4.0]], [[5.0, 3.0], [9.0, 4.0], [6.0, 2.0]], [[1.0, 8.0], [0.0, 9.0], [9.0, 1.0]]]","[[[2.0, 8.0], [3.0, 5.0], [8.0, 1.0]], [[8.0, 1.0], [4.0, 9.0], [9.0, 0.0]], [[4.0, 3.0], [2.0, 6.0], [1.0, 9.0]]]",negative,treatment
15,"(0.25, 0.0625, 0.6875)","(0.058823529411764705, 0.8235294117647058, 0.11764705882352941)","[[[7.0, 3.0], [9.0, 2.0], [5.0, 5.0]], [[9.0, 3.0], [7.0, 3.0], [8.0, 3.0]], [[7.0, 5.0], [7.0, 0.0], [9.0, 3.0]]]","[[[3.0, 7.0], [3.0, 9.0], [5.0, 7.0]], [[2.0, 9.0], [3.0, 7.0], [0.0, 7.0]], [[5.0, 5.0], [3.0, 8.0], [3.0, 9.0]]]",negative,treatment
16,"(0.875, 0.125, 0.0)","(0.17647058823529413, 0.7647058823529411, 0.058823529411764705)","[[[3.0, 5.0], [4.0, 5.0], [8.0, 4.0]], [[3.0, 9.0], [9.0, 5.0], [8.0, 0.0]], [[3.0, 6.0], [7.0, 2.0], [3.0, 5.0]]]","[[[5.0, 3.0], [9.0, 3.0], [6.0, 3.0]], [[5.0, 4.0], [5.0, 9.0], [2.0, 7.0]], [[4.0, 8.0], [0.0, 8.0], [5.0, 3.0]]]",negative,treatment
17,"(0.058823529411764705, 0.9411764705882353, 0.0)","(0.3125, 0.1875, 0.5)","[[[3.0, 5.0], [6.0, 6.0], [9.0, 1.0]], [[8.0, 3.0], [5.0, 5.0], [5.0, 5.0]], [[8.0, 5.0], [5.0, 7.0], [6.0, 1.0]]]","[[[5.0, 3.0], [3.0, 8.0], [5.0, 8.0]], [[6.0, 6.0], [5.0, 5.0], [7.0, 5.0]], [[1.0, 9.0], [5.0, 5.0], [1.0, 6.0]]]",negative,treatment
18,"(0.0, 0.4117647058823529, 0.5882352941176471)","(0.0, 0.9375, 0.0625)","[[[0.0, 7.0], [3.0, 6.0], [4.0, 2.0]], [[7.0, 1.0], [6.0, 2.0], [4.0, 4.0]], [[1.0, 7.0], [3.0, 8.0], [1.0, 9.0]]]","[[[7.0, 0.0], [1.0, 7.0], [7.0, 1.0]], [[6.0, 3.0], [2.0, 6.0], [8.0, 3.0]], [[2.0, 4.0], [4.0, 4.0], [9.0, 1.0]]]",negative,treatment
19,"(0.8235294117647058, 0.11764705882352941, 0.058823529411764705)","(0.0, 0.375, 0.625)","[[[4.0, 4.0], [2.0, 5.0], [1.0, 4.0]], [[4.0, 5.0], [3.0, 6.0], [9.0, 2.0]], [[5.0, 5.0], [5.0, 0.0], [7.0, 3.0]]]","[[[4.0, 4.0], [5.0, 4.0], [5.0, 5.0]], [[5.0, 2.0], [6.0, 3.0], [0.0, 5.0]], [[4.0, 1.0], [2.0, 9.0], [3.0, 7.0]]]",negative,treatment
20,"(0.5, 0.0, 0.5)","(0.11764705882352941, 0.058823529411764705, 0.8235294117647058)","[[[8.0, 1.0], [3.0, 7.0], [5.0, 6.0]], [[3.0, 8.0], [0.0, 7.0], [2.0, 6.0]], [[5.0, 8.0], [9.0, 0.0], [6.0, 4.0]]]","[[[1.0, 8.0], [8.0, 3.0], [8.0, 5.0]], [[7.0, 3.0], [7.0, 0.0], [0.0, 9.0]], [[6.0, 5.0], [6.0, 2.0], [4.0, 6.0]]]",negative,treatment
21,"(0.0625, 0.5, 0.4375)","(0.17647058823529413, 0.058823529411764705, 0.7647058823529411)","[[[3.0, 4.0], [4.0, 7.0], [9.0, 2.0]], [[2.0, 6.0], [7.0, 4.0], [6.0, 4.0]], [[6.0, 1.0], [8.0, 1.0], [8.0, 3.0]]]","[[[4.0, 3.0], [6.0, 2.0], [1.0, 6.0]], [[7.0, 4.0], [4.0, 7.0], [1.0, 8.0]], [[2.0, 9.0], [4.0, 6.0], [3.0, 8.0]]]",negative,treatment
22,"(0.11764705882352941, 0.8235294117647058, 0.058823529411764705)","(0.0625, 0.125, 0.8125)","[[[5.0, 4.0], [1.0, 8.0], [7.0, 2.0]], [[4.0, 6.0], [2.0, 9.0], [9.0, 0.0]], [[8.0, 2.0], [3.0, 6.0], [5.0, 5.0]]]","[[[4.0, 5.0], [6.0, 4.0], [2.0, 8.0]], [[8.0, 1.0], [9.0, 2.0], [6.0, 3.0]], [[2.0, 7.0], [0.0, 9.0], [5.0, 5.0]]]",negative,treatment
