round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.6875, 0.1875, 0.125)","(0.06666666666666667, 0.9333333333333333, 0.0)","[[[8.0, 3.0], [5.0, 2.0], [5.0, 6.0]], [[9.0, 4.0], [6.0, 4.0], [9.0, 0.0]], [[2.0, 7.0], [4.0, 4.0], [5.0, 3.0]]]","[[[3.0, 8.0], [4.0, 9.0], [7.0, 2.0]], [[2.0, 5.0], [4.0, 6.0], [4.0, 4.0]], [[6.0, 5.0], [0.0, 9.0], [3.0, 5.0]]]",negative,treatment
2,"(0.4375, 0.25, 0.3125)","(0.8666666666666667, 0.0, 0.13333333333333333)","[[[5.0, 5.0], [6.0, 2.0], [5.0, 3.0]], [[5.0, 3.0], [1.0, 8.0], [8.0, 4.0]], [[3.0, 6.0], [7.0, 4.0], [4.0, 6.0]]]","[[[5.0, 5.0], [3.0, 5.0], [6.0, 3.0]], [[2.0, 6.0], [8.0, 1.0], [4.0, 7.0]], [[3.0, 5.0], [4.0, 8.0], [6.0, 4.0]]]",negative,treatment
3,"(0.0, 0.0625, 0.9375)","(0.3333333333333333, 0.26666666666666666, 0.4)","[[[8.0, 0.0], [4.0, 1.0], [3.0, 8.0]], [[4.0, 7.0], [2.0, 7.0], [2.0, 7.0]], [[3.0, 5.0], [3.0, 9.0], [7.0, 5.0]]]","[[[0.0, 8.0], [7.0, 4.0], [5.0, 3.0]], [[1.0, 4.0], [7.0, 2.0], [9.0, 3.0]], [[8.0, 3.0], [7.0, 2.0], [5.0, 7.0]]]",negative,treatment
4,"(0.4375, 0.4375, 0.125)","(0.0, 1.0, 0.0)","[[[3.0, 4.0], [3.0, 5.0], [7.0, 3.0]], [[8.0, 5.0], [5.0, 5.0], [5.0, 6.0]], [[3.0, 6.0], [7.0, 4.0], [7.0, 2.0]]]","[[[4.0, 3.0], [5.0, 8.0], [6.0, 3.0]], [[5.0, 3.0], [5.0, 5.0], [4.0, 7.0]], [[3.0, 7.0], [6.0, 5.0], [2.0, 7.0]]]",negative,treatment
5,"(0.3125, 0.125, 0.5625)","(0.7333333333333333, 0.0, 0.26666666666666666)","[[[1.0, 7.0], [9.0, 1.0], [2.0, 5.0]], [[3.0, 1.0], [0.0, 8.0], [4.0, 5.0]], [[5.0, 7.0], [0.0, 8.0], [3.0, 6.0]]]","[[[7.0, 1.0], [1.0, 3.0], [7.0, 5.0]], [[1.0, 9.0], [8.0, 0.0], [8.0, 0.0]], [[5.0, 2.0], [5.0, 4.0], [6.0, 3.0]]]",negative,treatment
6,"(0.9375, 0.0, 0.0625)","(0.8, 0.06666666666666667, 0.13333333333333333)","[[[9.0, 4.0], [9.0, 3.0], [5.0, 6.0]], [[4.0, 7.0], [0.0, 6.0], [5.0, 0.0]], [[2.0, 9.0], [7.0, 7.0], [8.0, 0.0]]]","[[[4.0, 9.0], [7.0, 4.0], [9.0, 2.0]], [[3.0, 9.0], [6.0, 0.0], [7.0, 7.0]], [[6.0, 5.0], [0.0, 5.0], [0.0, 8.0]]]",negative,treatment
7,"(0.5, 0.125, 0.375)","(0.8666666666666667, 0.13333333333333333, 0.0)","[[[8.0, 7.0], [6.0, 7.0], [9.0, 2.0]], [[8.0, 1.0], [8.0, 0.0], [1.0, 8.0]], [[7.0, 4.0], [1.0, 8.0], [5.0, 4.0]]]","[[[7.0, 8.0], [1.0, 8.0], [4.0, 7.0]], [[7.0, 6.0], [0.0, 8.0], [8.0, 1.0]], [[2.0, 9.0], [8.0, 1.0], [4.0, 5.0]]]",negative,treatment
8,"(0.625, 0.0625, 0.3125)","(0.6666666666666666, 0.3333333333333333, 0.0)","[[[9.0, 3.0], [9.0, 3.0], [6.0, 5.0]], [[7.0, 3.0], [8.0, 2.0], [9.0, 2.0]], [[3.0, 7.0], [8.0, 0.0], [5.0, 3.0]]]","[[[3.0, 9.0], [3.0, 7.0], [7.0, 3.0]], [[3.0, 9.0], [2.0, 8.0], [0.0, 8.0]], [[5.0, 6.0], [2.0, 9.0], [3.0, 5.0]]]",negative,treatment
9,"(0.0625, 0.75, 0.1875)","(0.5333333333333333, 0.4666666666666667, 0.0)","[[[9.0, 1.0], [4.0, 5.0], [5.0, 6.0]], [[8.0, 5.0], [5.0, 7.0], [4.0, 3.0]], [[1.0, 3.0], [5.0, 3.0], [8.0, 1.0]]]","[[[1.0, 9.0], [5.0, 8.0], [3.0, 1.0]], [[5.0, 4.0], [7.0, 5.0], [3.0, 5.0]], [[6.0, 5.0], [3.0, 4.0], [1.0, 8.0]]]",negative,treatment
10,"(0.5, 0.0625, 0.4375)","(0.06666666666666667, 0.9333333333333333, 0.0)","[[[5.0, 4.0], [8.0, 1.0], [4.0, 5.0]], [[5.0, 6.0], [6.0, 4.0], [9.0, 2.0]], [[8.0, 2.0], [5.0, 3.0], [2.0, 8.0]]]","[[[4.0, 5.0], [6.0, 5.0], [2.0, 8.0]], [[1.0, 8.0], [4.0, 6.0], [3.0, 5.0]], [[5.0, 4.0], [2.0, 9.0], [8.0, 2.0]]]",negative,treatment
11,"(0.0625, 0.8125, 0.125)","(0.06666666666666667, 0.2, 0.7333333333333333)","[[[3.0, 5.0], [1.0, 8.0], [6.0, 6.0]], [[0.0, 9.0], [2.0, 5.0], [5.0, 8.0]], [[6.0, 2.0], [3.0, 8.0], [8.0, 1.0]]]","[[[5.0, 3.0], [9.0, 0.0], [2.0, 6.0]], [[8.0, 1.0], [5.0, 2.0], [8.0, 3.0]], [[6.0, 6.0], [8.0, 5.0], [1.0, 8.0]]]",negative,treatment
12,"(0.625, 0.0, 0.375)","(0.0, 0.6666666666666666, 0.3333333333333333)","[[[3.0, 6.0], [1.0, 8.0], [3.0, 6.0]], [[4.0, 4.0], [9.0, 2.0], [6.0, 3.0]], [[4.0, 6.0], [4.0, 6.0], [9.0, 5.0]]]","[[[6.0, 3.0], [4.0, 4.0], [6.0, 4.0]], [[8.0, 1.0], [2.0, 9.0], [6.0, 4.0]], [[6.0, 3.0], [3.0, 6.0], [5.0, 9.0]]]",negative,treatment
13,"(0.0625, 0.9375, 0.0)","(0.13333333333333333, 0.7333333333333333, 0.13333333333333333)","[[[5.0, 6.0], [4.0, 9.0], [4.0, 5.0]], [[7.0, 1.0], [6.0, 6.0], [6.0, 4.0]], [[3.0, 7.0], [6.0, 4.0], [9.0, 2.0]]]","[[[6.0, 5.0], [1.0, 7.0], [7.0, 3.0]], [[9.0, 4.0], [6.0, 6.0], [4.0, 6.0]], [[5.0, 4.0], [4.0, 6.0], [2.0, 9.0]]]",negative,treatment
14,"(0.0, 1.0, 0.0)","(0.0, 0.06666666666666667, 0.9333333333333333)","[[[5.0, 5.0], [2.0, 6.0], [2.0, 6.0]], [[3.0, 5.0], [7.0, 5.0], [8.0, 3.0]], [[6.0, 3.0], [8.0, 7.0], [5.0, 4.0]]]","[[[5.0, 5.0], [5.0, 3.0], [3.0, 6.0]], [[6.0, 2.0], [5.0, 7.0], [7.0, 8.0]], [[6.0, 2.0], [3.0, 8.0], [4.0, 5.0]]]",negative,treatment
15,"(0.25, 0.625, 0.125)","(0.06666666666666667, 0.8, 0.13333333333333333)","[[[6.0, 2.0], [1.0, 9.0], [8.0, 1.0]], [[4.0, 6.0], [8.0, 2.0], [7.0, 8.0]], [[3.0, 4.0], [6.0, 7.0], [7.0, 3.0]]]","[[[2.0, 6.0], [6.0, 4.0], [4.0, 3.0]], [[9.0, 1.0], [2.0, 8.0], [7.0, 6.0]], [[1.0, 8.0], [8.0, 7.0], [3.0, 7.0]]]",negative,treatment
16,"(0.0625, 0.625, 0.3125)","(0.4666666666666667, 0.13333333333333333, 0.4)","[[[6.0, 2.0], [4.0, 8.0], [7.0, 2.0]], [[4.0, 1.0], [5.0, 7.0], [0.0, 8.0]], [[9.0, 2.0], [2.0, 3.0], [5.0, 6.0]]]","[[[2.0, 6.0], [1.0, 4.0], [2.0, 9.0]], [[8.0, 4.0], [7.0, 5.0], [3.0, 2.0]], [[2.0, 7.0], [8.0, 0.0], [6.0, 5.0]]]",negative,treatment
17,"(0.0, 0.8125, 0.1875)","(0.0, 0.0, 1.0)","[[[2.0, 4.0], [4.0, 4.0], [4.0, 6.0]], [[1.0, 7.0], [2.0, 6.0], [9.0, 1.0]], [[7.0, 1.0], [4.0, 8.0], [8.0, 6.0]]]","[[[4.0, 2.0], [7.0, 1.0], [1.0, 7.0]], [[4.0, 4.0], [6.0, 2.0], [8.0, 4.0]], [[6.0, 4.0], [1.0, 9.0], [6.0, 8.0]]]",negative,treatment
18,"(0.5, 0.125, 0.375)","(0.26666666666666666, 0.7333333333333333, 0.0)","[[[4.0, 5.0], [1.0, 5.0], [7.0, 1.0]], [[2.0, 7.0], [8.0, 5.0], [5.0, 7.0]], [[2.0, 6.0], [8.0, 3.0], [3.0, 9.0]]]","[[[5.0, 4.0], [7.0, 2.0], [6.0, 2.0]], [[5.0, 1.0], [5.0, 8.0], [3.0, 8.0]], [[1.0, 7.0], [7.0, 5.0], [9.0, 3.0]]]",negative,treatment
19,"(0.5, 0.0, 0.5)","(0.8666666666666667, 0.13333333333333333, 0.0)","[[[6.0, 4.0], [8.0, 1.0], [8.0, 3.0]], [[2.0, 7.0], [9.0, 1.0], [2.0, 9.0]], [[9.0, 5.0], [5.0, 4.0], [0.0, 8.0]]]","[[[4.0, 6.0], [7.0, 2.0], [5.0, 9.0]], [[1.0, 8.0], [1.0, 9.0], [4.0, 5.0]], [[3.0, 8.0], [9.0, 2.0], [8.0, 0.0]]]",negative,treatment
20,"(0.0, 0.0625, 0.9375)","(0.06666666666666667, 0.13333333333333333, 0.8)","[[[7.0, 3.0], [1.0, 8.0], [7.0, 5.0]], [[1.0, 9.0], [2.0, 9.0], [4.0, 8.0]], [[8.0, 3.0], [7.0, 2.0], [3.0, 5.0]]]","[[[3.0, 7.0], [9.0, 1.0], [3.0, 8.0]], [[8.0, 1.0], [9.0, 2.0], [2.0, 7.0]], [[5.0, 7.0], [8.0, 4.0], [5.0, 3.0]]]",negative,treatment
