round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.8235294117647058, 0.058823529411764705, 0.11764705882352941)","(0.8461538461538461, 0.07692307692307693, 0.07692307692307693)","[[[8.0, 6.0], [9.0, 2.0], [6.0, 4.0]], [[1.0, 9.0], [9.0, 1.0], [5.0, 5.0]], [[3.0, 6.0], [9.0, 0.0], [5.0, 4.0]]]","[[[6.0, 8.0], [9.0, 1.0], [6.0, 3.0]], [[2.0, 9.0], [1.0, 9.0], [0.0, 9.0]], [[4.0, 6.0], [5.0, 5.0], [4.0, 5.0]]]",negative,treatment
2,"(0.26666666666666666, 0.6666666666666666, 0.06666666666666667)","(0.06666666666666667, 0.6666666666666666, 0.26666666666666666)","[[[7.0, 5.0], [1.0, 8.0], [1.0, 8.0]], [[4.0, 4.0], [6.0, 6.0], [2.0, 4.0]], [[3.0, 8.0], [3.0, 7.0], [6.0, 3.0]]]","[[[5.0, 7.0], [4.0, 4.0], [8.0, 3.0]], [[8.0, 1.0], [6.0, 6.0], [7.0, 3.0]], [[8.0, 1.0], [4.0, 2.0], [3.0, 6.0]]]",negative,treatment
3,"(0.375, 0.3125, 0.3125)","(0.21428571428571427, 0.07142857142857142, 0.7142857142857143)","[[[6.0, 2.0], [7.0, 2.0], [2.0, 9.0]], [[0.0, 9.0], [4.0, 6.0], [7.0, 2.0]], [[8.0, 3.0], [4.0, 7.0], [5.0, 4.0]]]","[[[2.0, 6.0], [9.0, 0.0], [3.0, 8.0]], [[2.0, 7.0], [6.0, 4.0], [7.0, 4.0]], [[9.0, 2.0], [2.0, 7.0], [4.0, 5.0]]]",negative,treatment
4,"(0.13333333333333333, 0.0, 0.8666666666666667)","(0.06666666666666667, 0.0, 0.9333333333333333)","[[[3.0, 5.0], [3.0, 6.0], [5.0, 6.0]], [[8.0, 4.0], [5.0, 4.0], [3.0, 8.0]], [[8.0, 2.0], [8.0, 1.0], [6.0, 2.0]]]","[[[5.0, 3.0], [4.0, 8.0], [2.0, 8.0]], [[6.0, 3.0], [4.0, 5.0], [1.0, 8.0]], [[6.0, 5.0], [8.0, 3.0], [2.0, 6.0]]]",negative,treatment
5,"(0.4375, 0.1875, 0.375)","(0.35714285714285715, 0.42857142857142855, 0.21428571428571427)","[[[4.0, 5.0], [7.0, 0.0], [7.0, 1.0]], [[5.0, 4.0], [4.0, 3.0], [5.0, 9.0]], [[5.0, 2.0], [9.0, 4.0], [2.0, 8.0]]]","[[[5.0, 4.0], [4.0, 5.0], [2.0, 5.0]], [[0.0, 7.0], [3.0, 4.0], [4.0, 9.0]], [[1.0, 7.0], [9.0, 5.0], [8.0, 2.0]]]",negative,treatment
6,"(0.6875, 0.3125, 0.0)","(0.0, 0.07142857142857142, 0.9285714285714286)","[[[4.0, 6.0], [6.0, 4.0], [2.0, 6.0]], [[5.0, 6.0], [2.0, 7.0], [6.0, 7.0]], [[7.0, 6.0], [5.0, 8.0], [6.0, 1.0]]]","[[[6.0, 4.0], [6.0, 5.0], [6.0, 7.0]], [[4.0, 6.0], [7.0, 2.0], [8.0, 5.0]], [[6.0, 2.0], [7.0, 6.0], [1.0, 6.0]]]",negative,treatment
7,"(0.0, 0.625, 0.375)","(0.14285714285714285, 0.0, 0.8571428571428571)","[[[2.0, 3.0], [8.0, 5.0], [2.0, 7.0]], [[6.0, 1.0], [4.0, 9.0], [4.0, 9.0]], [[7.0, 2.0], [7.0, 3.0], [5.0, 3.0]]]","[[[3.0, 2.0], [1.0, 6.0], [2.0, 7.0]], [[5.0, 8.0], [9.0, 4.0], [3.0, 7.0]], [[7.0, 2.0], [9.0, 4.0], [3.0, 5.0]]]",negative,treatment
8,"(0.13333333333333333, 0.06666666666666667, 0.8)","(0.06666666666666667, 0.9333333333333333, 0.0)","[[[7.0, 2.0], [7.0, 2.0], [0.0, 5.0]], [[8.0, 5.0], [3.0, 5.0], [5.0, 6.0]], [[0.0, 9.0], [4.0, 5.0], [4.0, 8.0]]]","[[[2.0, 7.0], [5.0, 8.0], [9.0, 0.0]], [[2.0, 7.0], [5.0, 3.0], [5.0, 4.0]], [[5.0, 0.0], [6.0, 5.0], [8.0, 4.0]]]",negative,treatment
9,"(0.0, 0.375, 0.625)","(0.07142857142857142, 0.2857142857142857, 0.6428571428571429)","[[[8.0, 1.0], [2.0, 6.0], [2.0, 9.0]], [[4.0, 3.0], [2.0, 6.0], [9.0, 4.0]], [[8.0, 2.0], [7.0, 5.0], [4.0, 8.0]]]","[[[1.0, 8.0], [3.0, 4.0], [2.0, 8.0]], [[6.0, 2.0], [6.0, 2.0], [5.0, 7.0]], [[9.0, 2.0], [4.0, 9.0], [8.0, 4.0]]]",negative,treatment
10,"(0.3333333333333333, 0.06666666666666667, 0.6)","(0.3333333333333333, 0.06666666666666667, 0.6)","[[[7.0, 2.0], [9.0, 2.0], [1.0, 9.0]], [[2.0, 7.0], [7.0, 0.0], [4.0, 5.0]], [[3.0, 8.0], [6.0, 4.0], [7.0, 2.0]]]","[[[2.0, 7.0], [7.0, 2.0], [8.0, 3.0]], [[2.0, 9.0], [0.0, 7.0], [4.0, 6.0]], [[9.0, 1.0], [5.0, 4.0], [2.0, 7.0]]]",negative,treatment
11,"(0.8, 0.2, 0.0)","(0.5333333333333333, 0.26666666666666666, 0.2)","[[[3.0, 8.0], [8.0, 3.0], [7.0, 4.0]], [[1.0, 8.0], [9.0, 8.0], [4.0, 7.0]], [[6.0, 6.0], [6.0, 2.0], [0.0, 9.0]]]","[[[8.0, 3.0], [8.0, 1.0], [6.0, 6.0]], [[3.0, 8.0], [8.0, 9.0], [2.0, 6.0]], [[4.0, 7.0], [7.0, 4.0], [9.0, 0.0]]]",negative,treatment
12,"(0.6, 0.2, 0.2)","(0.13333333333333333, 0.26666666666666666, 0.6)","[[[4.0, 6.0], [7.0, 4.0], [7.0, 4.0]], [[8.0, 3.0], [6.0, 7.0], [1.0, 9.0]], [[4.0, 9.0], [9.0, 5.0], [6.0, 4.0]]]","[[[6.0, 4.0], [3.0, 8.0], [9.0, 4.0]], [[4.0, 7.0], [7.0, 6.0], [5.0, 9.0]], [[4.0, 7.0], [9.0, 1.0], [4.0, 6.0]]]",negative,treatment
13,"(0.2, 0.7333333333333333, 0.06666666666666667)","(0.06666666666666667, 0.13333333333333333, 0.8)","[[[4.0, 6.0], [2.0, 6.0], [8.0, 3.0]], [[8.0, 5.0], [0.0, 9.0], [8.0, 5.0]], [[7.0, 3.0], [5.0, 7.0], [4.0, 9.0]]]","[[[6.0, 4.0], [5.0, 8.0], [3.0, 7.0]], [[6.0, 2.0], [9.0, 0.0], [7.0, 5.0]], [[3.0, 8.0], [5.0, 8.0], [9.0, 4.0]]]",negative,treatment
14,"(0.5333333333333333, 0.3333333333333333, 0.13333333333333333)","(0.13333333333333333, 0.06666666666666667, 0.8)","[[[2.0, 4.0], [7.0, 0.0], [4.0, 5.0]], [[5.0, 5.0], [2.0, 8.0], [7.0, 1.0]], [[7.0, 2.0], [5.0, 6.0], [5.0, 4.0]]]","[[[4.0, 2.0], [5.0, 5.0], [2.0, 7.0]], [[0.0, 7.0], [8.0, 2.0], [6.0, 5.0]], [[5.0, 4.0], [1.0, 7.0], [4.0, 5.0]]]",negative,treatment
15,"(0.13333333333333333, 0.7333333333333333, 0.13333333333333333)","(0.2, 0.13333333333333333, 0.6666666666666666)","[[[6.0, 6.0], [8.0, 5.0], [0.0, 7.0]], [[6.0, 5.0], [3.0, 7.0], [3.0, 7.0]], [[8.0, 4.0], [3.0, 5.0], [9.0, 0.0]]]","[[[6.0, 6.0], [5.0, 6.0], [4.0, 8.0]], [[5.0, 8.0], [7.0, 3.0], [5.0, 3.0]], [[7.0, 0.0], [7.0, 3.0], [0.0, 9.0]]]",negative,treatment
16,"(0.0, 0.0, 1.0)","(0.13333333333333333, 0.8666666666666667, 0.0)","[[[2.0, 7.0], [4.0, 7.0], [3.0, 6.0]], [[8.0, 3.0], [7.0, 2.0], [5.0, 3.0]], [[7.0, 2.0], [2.0, 4.0], [3.0, 9.0]]]","[[[7.0, 2.0], [3.0, 8.0], [2.0, 7.0]], [[7.0, 4.0], [2.0, 7.0], [4.0, 2.0]], [[6.0, 3.0], [3.0, 5.0], [9.0, 3.0]]]",negative,treatment
17,"(0.4, 0.26666666666666666, 0.3333333333333333)","(0.3333333333333333, 0.4, 0.26666666666666666)","[[[2.0, 8.0], [4.0, 1.0], [0.0, 5.0]], [[3.0, 7.0], [1.0, 8.0], [2.0, 7.0]], [[7.0, 3.0], [0.0, 8.0], [5.0, 3.0]]]","[[[8.0, 2.0], [7.0, 3.0], [3.0, 7.0]], [[1.0, 4.0], [8.0, 1.0], [8.0, 0.0]], [[5.0, 0.0], [7.0, 2.0], [3.0, 5.0]]]",negative,treatment
18,"(0.9333333333333333, 0.06666666666666667, 0.0)","(0.2, 0.4666666666666667, 0.3333333333333333)","[[[3.0, 7.0], [6.0, 7.0], [2.0, 6.0]], [[3.0, 8.0], [5.0, 3.0], [3.0, 5.0]], [[2.0, 7.0], [6.0, 4.0], [5.0, 3.0]]]","[[[7.0, 3.0], [8.0, 3.0], [7.0, 2.0]], [[7.0, 6.0], [3.0, 5.0], [4.0, 6.0]], [[6.0, 2.0], [5.0, 3.0], [3.0, 5.0]]]",negative,treatment
19,"(0.0, 0.9333333333333333, 0.06666666666666667)","(0.3333333333333333, 0.06666666666666667, 0.6)","[[[7.0, 4.0], [3.0, 7.0], [8.0, 1.0]], [[4.0, 2.0], [1.0, 8.0], [8.0, 4.0]], [[2.0, 4.0], [8.0, 5.0], [5.0, 2.0]]]","[[[4.0, 7.0], [2.0, 4.0], [4.0, 2.0]], [[7.0, 3.0], [8.0, 1.0], [5.0, 8.0]], [[1.0, 8.0], [4.0, 8.0], [2.0, 5.0]]]",negative,treatment
20,"(0.9333333333333333, 0.06666666666666667, 0.0)","(0.13333333333333333, 0.0, 0.8666666666666667)","[[[4.0, 9.0], [3.0, 4.0], [3.0, 7.0]], [[2.0, 5.0], [3.0, 7.0], [6.0, 2.0]], [[5.0, 4.0], [7.0, 3.0], [3.0, 4.0]]]","[[[9.0, 4.0], [5.0, 2.0], [4.0, 5.0]], [[4.0, 3.0], [7.0, 3.0], [3.0, 7.0]], [[7.0, 3.0], [2.0, 6.0], [4.0, 3.0]]]",negative,treatment
21,"(0.06666666666666667, 0.6666666666666666, 0.26666666666666666)","(0.2, 0.0, 0.8)","[[[5.0, 7.0], [5.0, 6.0], [7.0, 5.0]], [[7.0, 0.0], [3.0, 8.0], [3.0, 3.0]], [[5.0, 1.0], [7.0, 5.0], [6.0, 6.0]]]","[[[7.0, 5.0], [0.0, 7.0], [1.0, 5.0]], [[6.0, 5.0], [8.0, 3.0], [5.0, 7.0]], [[5.0, 7.0], [3.0, 3.0], [6.0, 6.0]]]",negative,treatment
22,"(0.0, 0.13333333333333333, 0.8666666666666667)","(0.6, 0.13333333333333333, 0.26666666666666666)","[[[7.0, 4.0], [8.0, 7.0], [1.0, 6.0]], [[9.0, 2.0], [4.0, 8.0], [1.0, 9.0]], [[0.0, 7.0], [7.0, 2.0], [3.0, 6.0]]]","[[[4.0, 7.0], [2.0, 9.0], [7.0, 0.0]], [[7.0, 8.0], [8.0, 4.0], [2.0, 7.0]], [[6.0, 1.0], [9.0, 1.0], [6.0, 3.0]]]",negative,treatment
23,"(0.06666666666666667, 0.9333333333333333, 0.0)","(0.13333333333333333, 0.06666666666666667, 0.8)","[[[6.0, 6.0], [2.0, 6.0], [6.0, 1.0]], [[1.0, 7.0], [5.0, 7.0], [4.0, 5.0]], [[8.0, 0.0], [7.0, 7.0], [3.0, 5.0]]]","[[[6.0, 6.0], [7.0, 1.0], [0.0, 8.0]], [[6.0, 2.0], [7.0, 5.0], [7.0, 7.0]], [[1.0, 6.0], [5.0, 4.0], [5.0, 3.0]]]",negative,treatment
24,"(0.06666666666666667, 0.8666666666666667, 0.06666666666666667)","(1.0, 0.0, 0.0)","[[[8.0, 4.0], [6.0, 7.0], [6.0, 2.0]], [[6.0, 3.0], [1.0, 9.0], [8.0, 4.0]], [[3.0, 6.0], [2.0, 3.0], [7.0, 5.0]]]","[[[4.0, 8.0], [3.0, 6.0], [6.0, 3.0]], [[7.0, 6.0], [9.0, 1.0], [3.0, 2.0]], [[2.0, 6.0], [4.0, 8.0], [5.0, 7.0]]]",negative,treatment
25,"(0.7333333333333333, 0.13333333333333333, 0.13333333333333333)","(0.13333333333333333, 0.13333333333333333, 0.7333333333333333)","[[[1.0, 7.0], [7.0, 2.0], [4.0, 6.0]], [[1.0, 9.0], [8.0, 5.0], [2.0, 2.0]], [[2.0, 8.0], [4.0, 4.0], [4.0, 7.0]]]","[[[7.0, 1.0], [9.0, 1.0], [8.0, 2.0]], [[2.0, 7.0], [5.0, 8.0], [4.0, 4.0]], [[6.0, 4.0], [2.0, 2.0], [7.0, 4.0]]]",negative,treatment
26,"(0.75, 0.25, 0.0)","(0.0, 0.7142857142857143, 0.2857142857142857)","[[[5.0, 5.0], [1.0, 8.0], [2.0, 6.0]], [[9.0, 4.0], [5.0, 3.0], [5.0, 5.0]], [[8.0, 5.0], [3.0, 3.0], [9.0, 1.0]]]","[[[5.0, 5.0], [4.0, 9.0], [5.0, 8.0]], [[8.0, 1.0], [3.0, 5.0], [3.0, 3.0]], [[6.0, 2.0], [5.0, 5.0], [1.0, 9.0]]]",negative,treatment
27,"(0.06666666666666667, 0.8, 0.13333333333333333)","(0.26666666666666666, 0.7333333333333333, 0.0)","[[[1.0, 5.0], [6.0, 3.0], [7.0, 2.0]], [[9.0, 3.0], [4.0, 6.0], [6.0, 7.0]], [[3.0, 3.0], [0.0, 8.0], [7.0, 2.0]]]","[[[5.0, 1.0], [3.0, 9.0], [3.0, 3.0]], [[3.0, 6.0], [6.0, 4.0], [8.0, 0.0]], [[2.0, 7.0], [7.0, 6.0], [2.0, 7.0]]]",negative,treatment
28,"(0.0, 1.0, 0.0)","(0.06666666666666667, 0.26666666666666666, 0.6666666666666666)","[[[8.0, 1.0], [2.0, 8.0], [6.0, 0.0]], [[9.0, 1.0], [4.0, 9.0], [7.0, 5.0]], [[8.0, 0.0], [7.0, 4.0], [9.0, 0.0]]]","[[[1.0, 8.0], [1.0, 9.0], [0.0, 8.0]], [[8.0, 2.0], [9.0, 4.0], [4.0, 7.0]], [[0.0, 6.0], [5.0, 7.0], [0.0, 9.0]]]",negative,treatment
29,"(0.9333333333333333, 0.06666666666666667, 0.0)","(0.06666666666666667, 0.2, 0.7333333333333333)","[[[2.0, 6.0], [5.0, 6.0], [6.0, 8.0]], [[4.0, 8.0], [7.0, 4.0], [9.0, 4.0]], [[7.0, 8.0], [6.0, 2.0], [4.0, 2.0]]]","[[[6.0, 2.0], [8.0, 4.0], [8.0, 7.0]], [[6.0, 5.0], [4.0, 7.0], [2.0, 6.0]], [[8.0, 6.0], [4.0, 9.0], [2.0, 4.0]]]",negative,treatment
30,"(0.26666666666666666, 0.7333333333333333, 0.0)","(0.06666666666666667, 0.0, 0.9333333333333333)","[[[5.0, 9.0], [4.0, 4.0], [7.0, 2.0]], [[4.0, 6.0], [1.0, 8.0], [7.0, 5.0]], [[8.0, 1.0], [6.0, 6.0], [6.0, 4.0]]]","[[[9.0, 5.0], [6.0, 4.0], [1.0, 8.0]], [[4.0, 4.0], [8.0, 1.0], [6.0, 6.0]], [[2.0, 7.0], [5.0, 7.0], [4.0, 6.0]]]",negative,treatment
31,"(0.13333333333333333, 0.06666666666666667, 0.8)","(0.2, 0.4, 0.4)","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]",negative,comparison
32,"(0.0, 1.0, 0.0)","(0.9333333333333333, 0.0, 0.06666666666666667)","[[[7.0, 3.0], [3.0, 9.0], [8.0, 1.0]], [[5.0, 6.0], [2.0, 9.0], [2.0, 7.0]], [[5.0, 1.0], [1.0, 8.0], [9.0, 2.0]]]","[[[3.0, 7.0], [6.0, 5.0], [1.0, 5.0]], [[9.0, 3.0], [9.0, 2.0], [8.0, 1.0]], [[1.0, 8.0], [7.0, 2.0], [2.0, 9.0]]]",negative,treatment
