col,col_play,round,row,row_play,session_code,type
"[[[7.0, 3.0], [5.0, 5.0], [5.0, 7.0]], [[8.0, 2.0], [8.0, 7.0], [6.0, 5.0]], [[9.0, 2.0], [5.0, 4.0], [4.0, 6.0]]]","[0.06666666666666667,0.8,0.13333333333333333]",13,"[[[3.0, 7.0], [2.0, 8.0], [2.0, 9.0]], [[5.0, 5.0], [7.0, 8.0], [4.0, 5.0]], [[7.0, 5.0], [5.0, 6.0], [6.0, 4.0]]]","[0.0,0.3333333333333333,0.6666666666666666]",viazupku,treatment
"[[[5.0, 6.0], [6.0, 7.0], [5.0, 4.0]], [[3.0, 6.0], [8.0, 4.0], [1.0, 8.0]], [[2.0, 6.0], [4.0, 9.0], [5.0, 6.0]]]","[0.5333333333333333,0.3333333333333333,0.13333333333333333]",14,"[[[6.0, 5.0], [6.0, 3.0], [6.0, 2.0]], [[7.0, 6.0], [4.0, 8.0], [9.0, 4.0]], [[4.0, 5.0], [8.0, 1.0], [6.0, 5.0]]]","[0.3333333333333333,0.4666666666666667,0.2]",viazupku,treatment
"[[[9.0, 3.0], [7.0, 3.0], [8.0, 3.0]], [[2.0, 6.0], [7.0, 0.0], [2.0, 6.0]], [[6.0, 5.0], [9.0, 0.0], [6.0, 2.0]]]","[1.0,0.0,0.0]",15,"[[[3.0, 9.0], [6.0, 2.0], [5.0, 6.0]], [[3.0, 7.0], [0.0, 7.0], [0.0, 9.0]], [[3.0, 8.0], [6.0, 2.0], [2.0, 6.0]]]","[0.8,0.0,0.2]",viazupku,treatment
"[[[2.0, 6.0], [2.0, 7.0], [5.0, 9.0]], [[2.0, 5.0], [3.0, 5.0], [9.0, 4.0]], [[5.0, 5.0], [9.0, 5.0], [6.0, 7.0]]]","[0.06666666666666667,0.06666666666666667,0.8666666666666667]",16,"[[[6.0, 2.0], [5.0, 2.0], [5.0, 5.0]], [[7.0, 2.0], [5.0, 3.0], [5.0, 9.0]], [[9.0, 5.0], [4.0, 9.0], [7.0, 6.0]]]","[0.06666666666666667,0.2,0.7333333333333333]",viazupku,treatment
"[[[7.0, 1.0], [5.0, 4.0], [7.0, 5.0]], [[3.0, 4.0], [3.0, 5.0], [7.0, 3.0]], [[8.0, 2.0], [2.0, 5.0], [2.0, 5.0]]]","[0.8,0.2,0.0]",17,"[[[1.0, 7.0], [4.0, 3.0], [2.0, 8.0]], [[4.0, 5.0], [5.0, 3.0], [5.0, 2.0]], [[5.0, 7.0], [3.0, 7.0], [5.0, 2.0]]]","[0.0,0.5333333333333333,0.4666666666666667]",viazupku,treatment
"[[[3.0, 7.0], [5.0, 4.0], [1.0, 8.0]], [[6.0, 5.0], [3.0, 8.0], [7.0, 3.0]], [[4.0, 2.0], [3.0, 4.0], [3.0, 5.0]]]","[0.06666666666666667,0.9333333333333333,0.0]",18,"[[[7.0, 3.0], [5.0, 6.0], [2.0, 4.0]], [[4.0, 5.0], [8.0, 3.0], [4.0, 3.0]], [[8.0, 1.0], [3.0, 7.0], [5.0, 3.0]]]","[0.2,0.5333333333333333,0.26666666666666666]",viazupku,treatment
"[[[5.0, 6.0], [8.0, 4.0], [6.0, 0.0]], [[8.0, 4.0], [2.0, 9.0], [0.0, 7.0]], [[6.0, 2.0], [2.0, 7.0], [2.0, 9.0]]]","[0.9333333333333333,0.06666666666666667,0.0]",19,"[[[6.0, 5.0], [4.0, 8.0], [2.0, 6.0]], [[4.0, 8.0], [9.0, 2.0], [7.0, 2.0]], [[0.0, 6.0], [7.0, 0.0], [9.0, 2.0]]]","[0.2,0.7333333333333333,0.06666666666666667]",viazupku,treatment
"[[[4.0, 6.0], [3.0, 5.0], [5.0, 6.0]], [[7.0, 3.0], [7.0, 6.0], [9.0, 3.0]], [[4.0, 5.0], [3.0, 4.0], [9.0, 2.0]]]","[0.0,1.0,0.0]",20,"[[[6.0, 4.0], [3.0, 7.0], [5.0, 4.0]], [[5.0, 3.0], [6.0, 7.0], [4.0, 3.0]], [[6.0, 5.0], [3.0, 9.0], [2.0, 9.0]]]","[0.06666666666666667,0.8666666666666667,0.06666666666666667]",viazupku,treatment
"[[[2.0, 7.0], [5.0, 4.0], [9.0, 1.0]], [[5.0, 7.0], [8.0, 0.0], [8.0, 3.0]], [[8.0, 0.0], [2.0, 3.0], [3.0, 6.0]]]","[0.0,0.8,0.2]",21,"[[[7.0, 2.0], [7.0, 5.0], [0.0, 8.0]], [[4.0, 5.0], [0.0, 8.0], [3.0, 2.0]], [[1.0, 9.0], [3.0, 8.0], [6.0, 3.0]]]","[0.6,0.0,0.4]",viazupku,treatment
"[[[8.0, 1.0], [4.0, 5.0], [5.0, 5.0]], [[0.0, 8.0], [1.0, 7.0], [1.0, 8.0]], [[5.0, 6.0], [5.0, 5.0], [5.0, 3.0]]]","[0.4666666666666667,0.0,0.5333333333333333]",22,"[[[1.0, 8.0], [8.0, 0.0], [6.0, 5.0]], [[5.0, 4.0], [7.0, 1.0], [5.0, 5.0]], [[5.0, 5.0], [8.0, 1.0], [3.0, 5.0]]]","[0.13333333333333333,0.5333333333333333,0.3333333333333333]",viazupku,treatment
