col,col_play,round,row,row_play,session_code,type
"[[[1.0, 2.0], [3.0, 4.0], [9.0, 5.0]], [[4.0, 6.0], [4.0, 0.0], [4.0, 4.0]], [[7.0, 7.0], [7.0, 4.0], [0.0, 3.0]]]","[0.5,0.0,0.5]",33,"[[[1.0, 2.0], [3.0, 4.0], [9.0, 5.0]], [[4.0, 6.0], [4.0, 0.0], [4.0, 4.0]], [[7.0, 7.0], [7.0, 4.0], [0.0, 3.0]]]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",3apd5c4u,treatment
"[[[4.0, 6.0], [5.0, 6.0], [8.0, 7.0]], [[5.0, 4.0], [7.0, 4.0], [9.0, 6.0]], [[1.0, 0.0], [9.0, 9.0], [2.0, 5.0]]]","[0.0,0.75,0.25]",34,"[[[4.0, 6.0], [5.0, 6.0], [8.0, 7.0]], [[5.0, 4.0], [7.0, 4.0], [9.0, 6.0]], [[1.0, 0.0], [9.0, 9.0], [2.0, 5.0]]]","[0.0,0.3333333333333333,0.6666666666666666]",3apd5c4u,treatment
"[[[2.0, 1.0], [4.0, 4.0], [9.0, 7.0]], [[6.0, 4.0], [7.0, 4.0], [5.0, 5.0]], [[9.0, 6.0], [0.0, 2.0], [8.0, 6.0]]]","[0.0,0.0,1.0]",35,"[[[2.0, 1.0], [4.0, 4.0], [9.0, 7.0]], [[6.0, 4.0], [7.0, 4.0], [5.0, 5.0]], [[9.0, 6.0], [0.0, 2.0], [8.0, 6.0]]]","[0.3333333333333333,0.0,0.6666666666666666]",3apd5c4u,treatment
"[[[4.0, 6.0], [2.0, 5.0], [5.0, 6.0]], [[9.0, 4.0], [3.0, 1.0], [3.0, 2.0]], [[1.0, 3.0], [8.0, 6.0], [2.0, 6.0]]]","[1.0,0.0,0.0]",36,"[[[4.0, 6.0], [2.0, 5.0], [5.0, 6.0]], [[9.0, 4.0], [3.0, 1.0], [3.0, 2.0]], [[1.0, 3.0], [8.0, 6.0], [2.0, 6.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[1, 3], [0, 2], [1, 1]]]","[0.25,0.75,0.0]",37,"[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[1, 3], [0, 2], [1, 1]]]","[0.3333333333333333,0.6666666666666666,0.0]",3apd5c4u,comparison
"[[[5.0, 7.0], [4.0, 5.0], [5.0, 7.0]], [[7.0, 7.0], [9.0, 9.0], [8.0, 8.0]], [[2.0, 2.0], [6.0, 7.0], [2.0, 5.0]]]","[0.25,0.0,0.75]",38,"[[[5.0, 7.0], [4.0, 5.0], [5.0, 7.0]], [[7.0, 7.0], [9.0, 9.0], [8.0, 8.0]], [[2.0, 2.0], [6.0, 7.0], [2.0, 5.0]]]","[0.0,0.8333333333333334,0.16666666666666666]",3apd5c4u,treatment
"[[[7.0, 7.0], [4.0, 2.0], [3.0, 2.0]], [[5.0, 4.0], [8.0, 5.0], [0.0, 0.0]], [[7.0, 7.0], [7.0, 6.0], [7.0, 7.0]]]","[0.75,0.25,0.0]",39,"[[[7.0, 7.0], [4.0, 2.0], [3.0, 2.0]], [[5.0, 4.0], [8.0, 5.0], [0.0, 0.0]], [[7.0, 7.0], [7.0, 6.0], [7.0, 7.0]]]","[0.0,0.5,0.5]",3apd5c4u,treatment
"[[[1.0, 1.0], [3.0, 0.0], [0.0, 1.0]], [[0.0, 1.0], [5.0, 9.0], [6.0, 3.0]], [[2.0, 2.0], [6.0, 5.0], [2.0, 0.0]]]","[0.0,1.0,0.0]",40,"[[[1.0, 1.0], [3.0, 0.0], [0.0, 1.0]], [[0.0, 1.0], [5.0, 9.0], [6.0, 3.0]], [[2.0, 2.0], [6.0, 5.0], [2.0, 0.0]]]","[0.0,0.6666666666666666,0.3333333333333333]",3apd5c4u,treatment
"[[[9, 9], [4, 6], [0, 4]], [[6, 4], [6, 6], [1, 4]], [[4, 0], [4, 1], [4, 4]]]","[1.0,0.0,0.0]",41,"[[[9, 9], [4, 6], [0, 4]], [[6, 4], [6, 6], [1, 4]], [[4, 0], [4, 1], [4, 4]]]","[0.5,0.3333333333333333,0.16666666666666666]",3apd5c4u,comparison
"[[[4.0, 7.0], [4.0, 3.0], [8.0, 7.0]], [[4.0, 1.0], [9.0, 8.0], [6.0, 7.0]], [[5.0, 5.0], [5.0, 3.0], [6.0, 7.0]]]","[0.0,0.5,0.5]",42,"[[[4.0, 7.0], [4.0, 3.0], [8.0, 7.0]], [[4.0, 1.0], [9.0, 8.0], [6.0, 7.0]], [[5.0, 5.0], [5.0, 3.0], [6.0, 7.0]]]","[0.3333333333333333,0.6666666666666666,0.0]",3apd5c4u,treatment
"[[[4.0, 1.0], [4.0, 2.0], [0.0, 1.0]], [[0.0, 3.0], [4.0, 3.0], [8.0, 6.0]], [[2.0, 1.0], [1.0, 1.0], [1.0, 0.0]]]","[0.0,0.5,0.5]",43,"[[[4.0, 1.0], [4.0, 2.0], [0.0, 1.0]], [[0.0, 3.0], [4.0, 3.0], [8.0, 6.0]], [[2.0, 1.0], [1.0, 1.0], [1.0, 0.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[8, 8], [7, 8], [1, 4]], [[8, 7], [9, 9], [0, 5]], [[6, 1], [5, 0], [6, 6]]]","[0.5,0.5,0.0]",44,"[[[8, 8], [7, 8], [1, 4]], [[8, 7], [9, 9], [0, 5]], [[6, 1], [5, 0], [6, 6]]]","[0.0,0.8333333333333334,0.16666666666666666]",3apd5c4u,comparison
"[[[8.0, 7.0], [3.0, 6.0], [3.0, 0.0]], [[4.0, 7.0], [3.0, 4.0], [8.0, 4.0]], [[6.0, 6.0], [8.0, 7.0], [6.0, 6.0]]]","[1.0,0.0,0.0]",45,"[[[8.0, 7.0], [3.0, 6.0], [3.0, 0.0]], [[4.0, 7.0], [3.0, 4.0], [8.0, 4.0]], [[6.0, 6.0], [8.0, 7.0], [6.0, 6.0]]]","[0.16666666666666666,0.3333333333333333,0.5]",3apd5c4u,treatment
"[[[4.0, 2.0], [6.0, 2.0], [6.0, 6.0]], [[4.0, 3.0], [2.0, 2.0], [3.0, 8.0]], [[6.0, 7.0], [4.0, 3.0], [4.0, 9.0]]]","[0.25,0.0,0.75]",46,"[[[4.0, 2.0], [6.0, 2.0], [6.0, 6.0]], [[4.0, 3.0], [2.0, 2.0], [3.0, 8.0]], [[6.0, 7.0], [4.0, 3.0], [4.0, 9.0]]]","[0.6666666666666666,0.0,0.3333333333333333]",3apd5c4u,treatment
"[[[2.0, 0.0], [3.0, 1.0], [3.0, 6.0]], [[4.0, 4.0], [2.0, 4.0], [7.0, 5.0]], [[5.0, 6.0], [4.0, 3.0], [6.0, 8.0]]]","[0.0,0.0,1.0]",47,"[[[2.0, 0.0], [3.0, 1.0], [3.0, 6.0]], [[4.0, 4.0], [2.0, 4.0], [7.0, 5.0]], [[5.0, 6.0], [4.0, 3.0], [6.0, 8.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[3.0, 5.0], [6.0, 7.0], [1.0, 3.0]], [[1.0, 1.0], [4.0, 5.0], [7.0, 8.0]], [[2.0, 3.0], [4.0, 4.0], [8.0, 6.0]]]","[0.0,0.25,0.75]",48,"[[[3.0, 5.0], [6.0, 7.0], [1.0, 3.0]], [[1.0, 1.0], [4.0, 5.0], [7.0, 8.0]], [[2.0, 3.0], [4.0, 4.0], [8.0, 6.0]]]","[0.16666666666666666,0.3333333333333333,0.5]",3apd5c4u,treatment
"[[[7, 4], [3, 5], [4, 0]], [[5, 3], [3, 7], [3, 2]], [[0, 3], [1, 3], [9, 9]]]","[0.0,0.5,0.5]",49,"[[[7, 4], [3, 5], [4, 0]], [[5, 3], [3, 7], [3, 2]], [[0, 3], [1, 3], [9, 9]]]","[0.0,0.3333333333333333,0.6666666666666666]",3apd5c4u,comparison
"[[[5.0, 8.0], [9.0, 8.0], [6.0, 2.0]], [[3.0, 2.0], [4.0, 2.0], [8.0, 4.0]], [[0.0, 0.0], [9.0, 6.0], [6.0, 8.0]]]","[0.25,0.75,0.0]",50,"[[[5.0, 8.0], [9.0, 8.0], [6.0, 2.0]], [[3.0, 2.0], [4.0, 2.0], [8.0, 4.0]], [[0.0, 0.0], [9.0, 6.0], [6.0, 8.0]]]","[0.8333333333333334,0.0,0.16666666666666666]",3apd5c4u,treatment
